confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
4,0,0
6,0,0
9,0,0
9,0,0
15,0,0
15,0,0
25,0,0
45,0,0
49,0,0
89,0,0
123,0,0
131,0,0
158,0,0
184,0,0
260,0,0
277,0,0
308,0,0
367,0,0
433,3,0
576,7,0
794,11,0
906,17,0
1029,23,0
1292,26,0
1452,37,0
1815,43,0
2109,65,0
2245,82,0
2460,92,0
2738,115,0
3183,133,0
3613,146,0
3864,151,0
4057,176,0
4417,197,0
4761,220,0
5202,248,0
5467,270,0
5990,291,0
6300,316,0
6633,331,0
6879,351,0
7216,372,0
7707,392,0
8067,411,0
8418,421,0
8746,451,0
8936,478,0
9242,498,0
9710,524,1
10096,545,1
10417,567,2
10635,601,2
11036,619,2
11339,641,2
11616,663,4
11978,693,4
12240,717,6
12567,744,8
12732,771,8
13163,790,8
13512,818,8
13837,841,12
14107,864,12
14499,888,12
14811,923,13
15131,939,14
15362,961,14
15588,982,14
15778,1002,14
16002,1036,14
16247,1053,14
16437,1070,14
16704,1094,14
16871,1107,14
17036,1120,14
17191,1137,15
17387,1147,15
17585,1156,15
17712,1166,15
17857,1176,15
18070,1185,15
18283,1205,15
18429,1216,15
18594,1227,15
18791,1235,15
18982,1248,15
19133,1259,15
19257,1266,15
19398,1276,15
19517,1288,15
19669,1296,15
19907,1305,15
20103,1316,15
20290,1322,15
20479,1333,15
20604,1339,15
20749,1354,15
20945,1360,15
21182,1369,15
21404,1380,15
21679,1394,15
21999,1410,15
22165,1427,15
22415,1437,15
22760,1451,15
23080,1473,15
23400,1484,15
23730,1500,15
24045,1512,15
24291,1523,15
24505,1539,15
24826,1555,15
25286,1565,15
25697,1579,15
26022,1589,15
26313,1612,15
26582,1634,15
26970,1651,15
27296,1667,15
27746,1687,15
28166,1708,15
28582,1731,15
28973,1750,15
29223,1768,15
29620,1799,15
30175,1817,15
30789,1834,15
31381,1847,15
