confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
3,0,0
3,0,0
3,0,0
4,0,0
13,0,0
13,0,0
17,0,0
17,0,0
20,0,0
20,0,0
28,0,0
45,0,0
59,0,0
63,0,0
90,0,0
114,0,0
147,0,0
199,1,0
253,1,0
306,1,0
367,1,0
438,1,0
495,1,0
658,3,0
840,3,0
1036,4,1
1264,4,1
1534,8,1
1836,9,1
2337,17,1
2777,24,1
3548,30,1
4149,34,1
4731,43,1
5389,45,1
6343,47,1
7497,58,1
8672,63,1
10131,76,1
11917,94,1
13584,106,1
15770,130,4
18328,148,4
21102,170,11
24490,198,11
27938,232,11
32008,273,11
36793,313,11
42853,361,11
47121,405,13
52763,456,13
57999,513,15
62773,555,15
68622,615,15
74588,681,15
80949,747,15
87147,794,15
93558,867,15
99399,972,15
106498,1073,15
114431,1169,15
124054,1222,15
134687,1280,15
145268,1356,15
155370,1451,15
165929,1537,15
177160,1625,17
187859,1723,17
198676,1827,17
209688,1915,17
221344,2009,17
232243,2116,17
242271,2212,18
252245,2305,18
262843,2418,18
272043,2537,18
281752,2631,18
290678,2722,18
299941,2837,18
308705,2972,18
317554,3099,18
326448,3249,18
335882,3388,18
344481,3541,18
353427,3633,18
362342,3807,18
370680,3968,18
379051,4142,18
387623,4374,18
396575,4555,18
405843,4693,18
414328,4849,18
423186,5031,18
431715,5208,18
440538,5376,18
449256,5520,18
458102,5717,18
467073,5851,18
476043,5963,18
484630,6134,18
493023,6350,18
501800,6522,18
510761,6705,18
519458,6819,18
528267,6938,18
536484,7081,18
544725,7274,18
552549,7468,18
560321,7650,18
568292,7831,18
576162,7992,18
583879,8101,18
591465,8196,18
598878,8349,18
606043,8503,19
613148,8594,19
619936,8770,19
626779,8958,19
633563,9060,19
640246,9152,19
646929,9306,19
653479,9521,19
660231,9668,19
666941,9844,19
673564,10011,19
680283,10145,19
686852,10280,19
693215,10478,19
699749,10650,19
706240,10826,19
712863,11000,19
