confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
7,0,0
8,0,0
8,0,0
9,0,0
9,0,0
9,0,0
10,0,0
10,0,0
11,0,0
11,0,0
11,0,0
12,0,0
12,0,0
12,0,0
12,0,0
14,0,0
14,0,0
14,0,0
14,0,3
14,0,3
14,0,3
15,0,3
15,0,3
15,0,3
15,0,3
15,0,4
15,0,4
15,0,4
15,0,4
15,0,5
15,0,7
15,0,7
15,0,9
15,0,9
15,0,9
15,0,9
15,0,9
15,0,9
15,0,14
15,0,14
15,0,14
15,0,14
15,0,24
15,0,24
15,0,24
15,0,24
15,0,24
15,0,24
15,0,27
15,0,27
15,0,27
15,0,27
15,0,27
15,0,28
15,0,28
15,0,33
15,0,33
15,0,37
15,0,37
15,0,37
15,0,42
15,0,42
15,0,42
15,0,42
15,0,42
15,0,51
15,0,51
15,0,55
15,0,55
15,0,55
15,0,55
15,0,55
15,0,55
15,0,55
15,0,65
15,0,66
15,0,69
15,0,69
15,0,73
15,0,73
15,0,74
15,0,91
15,0,91
15,0,258
15,0,258
15,0,258
15,0,259
15,0,260
15,0,260
15,0,260
15,0,260
15,0,260
15,0,260
15,0,260
15,0,271
15,0,317
16,0,317
16,0,317
16,0,317
16,0,317
16,0,345
16,0,369
17,0,379
