confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,4
2,0,4
2,0,4
2,0,4
2,0,4
2,0,4
2,0,4
2,0,4
2,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,4
3,0,6
9,0,6
9,0,13
13,0,13
13,0,13
13,0,21
13,0,21
14,0,27
14,0,35
14,0,35
14,0,40
14,0,40
14,0,49
15,0,50
15,0,53
15,0,53
15,0,53
15,0,53
15,0,53
15,0,55
15,0,57
15,0,60
15,0,60
15,0,61
15,0,62
15,0,62
15,0,63
15,0,64
15,0,64
15,0,64
15,0,64
15,0,64
17,0,69
17,0,78
17,0,82
17,0,83
18,0,86
18,0,86
18,0,92
18,0,97
18,0,106
18,0,114
18,0,126
18,0,126
18,0,130
18,0,161
18,0,161
18,0,172
18,0,189
18,0,198
18,0,201
18,0,203
18,0,211
18,0,220
18,0,235
18,0,254
18,0,266
18,0,266
18,0,270
18,0,275
18,0,294
18,0,322
18,0,344
18,0,357
18,0,357
18,0,359
18,0,384
18,0,391
19,0,408
19,0,428
19,0,428
19,0,428
19,0,478
19,0,483
19,0,496
19,0,496
19,0,520
19,0,520
19,0,520
19,0,575
19,0,590
19,0,591
19,0,609
19,0,610
19,0,610
19,0,610
19,0,627
19,0,632
19,0,647
19,0,653
19,0,656
19,0,656
19,0,656
19,0,656
19,0,656
19,0,656
19,0,656
22,0,656
22,0,656
22,0,656
22,0,656
22,0,656
22,0,656
22,0,656
22,0,656
