confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
5,0,0
5,0,0
5,0,0
11,0,0
15,0,0
20,0,0
21,0,0
45,0,0
86,0,0
103,0,0
103,0,0
118,0,1
171,0,1
171,0,1
274,0,1
344,0,1
392,0,1
511,0,1
562,0,1
767,1,15
900,2,15
1012,3,0
1104,3,0
1203,4,0
1299,8,0
1453,8,0
1563,10,0
1720,16,0
1885,21,0
2039,25,0
2179,29,0
2402,34,0
2605,38,0
2795,41,0
2932,41,0
3287,44,0
3651,47,0
4033,52,0
4462,59,0
4934,65,0
5369,73,0
5862,79,0
6380,83,0
7142,87,534
8274,92,637
9362,97,753
10484,103,870
11631,109,977
12772,114,1025
13930,121,1067
15102,127,1094
16299,136,1152
17522,139,1182
18811,144,1209
20077,152,1260
21402,157,1292
22753,162,1343
24097,169,1343
25459,176,1426
27011,184,1551
28656,191,1574
30251,200,1723
31938,209,1971
33731,219,2160
35432,229,2453
37136,239,2732
39048,246,2732
41014,255,3290
42925,264,3600
44830,273,3824
46869,283,4084
49176,292,4301
52016,302,4479
54752,312,4713
57345,320,4799
59854,329,4904
62545,339,5067
65077,351,5370
67719,364,5541
70161,379,5699
72560,390,5857
74795,399,5920
76726,411,6067
78541,425,6277
80185,441,6438
81766,458,6524
83384,480,6606
85261,503,6698
87142,525,6726
89011,549,6766
91182,579,6852
93157,611,6910
95748,642,6931
98869,676,11056
101914,712,11348
105283,746,11189
108571,783,11268
112288,819,11348
116021,857,11362
119942,893,11411
123308,932,11465
127541,972,11511
132048,1011,11561
136315,1052,11624
141234,1091,11697
145991,1139,11769
150292,1184,11822
154233,1230,11889
157612,1267,11947
161005,1307,11997
164144,1346,12054
167267,1387,12111
170639,1428,12154
174577,1474,12232
178504,1511,12338
182493,1551,12464
186436,1599,12581
190823,1649,12662
194225,1698,12772
197608,1752,12912
201801,1802,13064
205929,1858,13176
209509,1916,13267
213716,1968,13366
217108,2017,13447
220144,2059,13562
223327,2100,13651
226486,2151,13719
