confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
2,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
10,0,0
10,0,0
24,0,0
24,0,0
26,0,0
31,0,0
31,0,0
38,0,0
47,0,0
67,0,0
79,0,0
86,0,0
99,0,0
105,0,0
119,0,0
130,0,0
142,0,0
162,0,0
175,0,0
190,1,0
195,1,0
207,1,0
219,2,0
222,2,0
226,2,0
237,2,0
244,2,0
250,2,0
265,2,0
278,2,0
280,2,0
291,2,0
299,2,0
314,2,0
335,2,0
342,2,5
350,3,5
367,3,5
377,5,5
412,5,5
442,6,5
479,6,6
545,7,6
614,7,6
671,9,6
736,9,6
823,9,6
882,9,6
933,9,6
1024,9,6
1115,9,6
1182,9,6
1271,10,6
1329,11,8
1433,12,8
1492,13,8
1551,13,8
1634,17,8
1709,19,10
1886,19,10
1995,19,10
2105,21,10
2189,23,10
2310,25,10
2429,25,10
2480,25,10
2544,26,11
2617,30,11
2714,30,11
2812,33,11
2909,33,11
2976,34,11
3047,35,11
3130,35,11
3161,36,11
3253,38,11
3348,39,11
3429,41,11
3535,42,11
3645,42,11
3739,42,11
3836,43,11
3932,45,11
4021,45,11
4155,45,11
4249,47,11
4328,49,11
4427,49,11
4516,52,11
4640,52,11
4759,55,11
4851,56,11
4996,60,11
5090,60,11
5173,64,11
5247,70,11
5369,73,11
5475,76,11
5639,79,11
5783,82,11
5888,84,11
5970,86,11
6034,89,11
6129,93,11
6233,94,11
6354,98,11
6459,102,11
6586,105,11
6698,108,11
6793,112,11
6925,116,11
7054,121,11
7164,125,11
7272,129,11
7400,133,11
7478,136,11
7547,137,11
7657,141,11
7784,143,11
7882,145,11
