confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,2
0,0,2
0,0,2
0,0,9
0,0,15
0,0,15
0,0,17
0,0,18
0,0,18
0,0,24
0,0,29
0,0,34
0,0,34
0,0,37
0,0,37
0,0,51
0,0,51
0,0,53
0,0,62
0,0,62
0,0,62
0,0,72
0,0,72
0,0,78
0,0,78
0,0,78
0,0,78
1,0,78
1,0,78
1,0,78
1,0,78
5,0,78
12,0,96
19,0,96
35,0,97
46,0,105
48,0,105
55,0,109
65,0,114
83,0,114
103,0,114
135,1,124
171,1,140
222,2,144
249,3,144
303,3,156
384,4,160
384,1,172
457,1,183
659,10,198
741,13,212
785,16,228
900,16,240
1060,28,245
1171,31,266
1476,39,282
1624,44,297
1908,51,320
2200,58,344
2447,61,377
2666,65,406
2867,66,460
3105,71,492
3380,74,528
3630,80,560
4054,85,586
4465,94,611
4873,99,652
5318,103,683
5690,110,708
5994,117,740
6318,122,768
6630,125,801
6890,130,839
7144,134,896
7276,139,924
7483,144,956
7779,151,1002
8042,156,1060
8275,162,1095
8497,168,1128
8724,173,1188
9009,179,1244
9009,179,1268
9362,189,1347
9464,193,1408
9557,197,1457
9677,200,1519
9791,203,1634
9848,206,1712
9943,209,2040
10032,215,2296
10032,215,2721
10176,218,3225
10243,220,3851
10295,222,4809
10374,224,5973
10438,225,7248
10496,228,8342
10610,230,9340
10699,231,9835
10733,234,10365
10833,235,11207
10919,237,12117
11024,237,12995
11092,238,13882
11159,238,14876
11193,239,15738
11227,239,16444
11275,240,17276
11300,241,18294
11354,242,19631
11381,242,20727
11412,243,21699
11430,244,22466
11454,245,23175
11523,245,23582
11571,246,23904
11667,247,24209
11741,248,24559
11823,249,24886
11896,250,25368
11965,250,25877
12031,251,26532
12102,252,27286
12175,252,28040
12251,253,28808
12310,254,29589
12367,255,30366
12426,256,31163
12522,257,31938
12616,258,32712
12709,259,33459
12803,260,34224
12894,261,34942
12990,262,35590
13092,263,35995
13235,263,36299
13372,264,36604
13565,265,36825
13792,267,37163
14046,270,37508
14288,274,37985
14564,277,38500
14836,281,39011
15195,287,39429
15504,298,39769
15829,306,40117
16131,311,40441
16420,317,40717
16719,330,41002
17076,341,41323
17342,352,41645
17728,370,41780
