confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
7,0,0
7,0,0
16,0,0
16,0,0
31,0,0
57,0,0
89,0,0
141,0,0
181,1,0
219,1,0
253,1,0
275,1,0
275,1,0
286,1,0
341,1,0
383,1,0
414,2,0
442,3,0
480,4,4
528,5,12
562,6,12
632,9,31
684,9,31
730,11,31
756,11,31
802,15,31
841,15,50
897,17,50
934,20,95
977,22,95
997,28,95
1021,30,95
1059,36,95
1091,40,95
1124,43,95
1160,45,410
1188,50,410
1205,53,410
1212,55,410
1220,56,410
1248,61,410
1268,61,903
1304,66,903
1317,70,903
1330,74,903
1335,77,1055
1344,77,1055
1353,79,1055
1366,79,1473
1373,80,1473
1388,81,1473
1396,82,1473
1402,83,1473
1408,86,2073
1418,89,2073
1429,91,2073
1434,92,2382
1439,94,2549
1439,96,2549
1439,97,2746
1445,98,2746
1448,99,3153
1449,99,3153
1450,100,3153
1454,101,3983
1457,102,4173
1460,102,4357
1461,102,4357
1463,103,4745
1464,103,5676
1465,103,6083
1465,103,6478
1466,104,7006
1466,104,7298
1467,104,7960
1468,105,8950
1468,106,8950
1468,106,10104
1468,106,10104
1468,107,11100
1469,107,11917
1469,108,12741
1471,108,13451
1473,108,14370
1473,108,15093
1473,108,16116
1473,108,16809
1473,109,17291
1475,109,18313
1477,109,19682
1477,109,21311
1479,109,23088
1484,109,24258
1485,109,24364
1485,109,26099
1486,109,29006
1488,109,31505
1488,109,33252
1490,109,35006
1492,109,36850
1495,109,38531
1496,109,39867
1499,109,42063
1503,109,44331
1511,109,44920
1513,109,47825
1519,109,50326
1520,109,51608
1521,109,53444
1534,109,55045
1541,109,56874
1547,109,59974
1558,109,64111
1572,109,67094
1581,111,68925
1585,111,70614
1600,111,73543
1613,111,76025
1634,111,81999
1650,111,86298
1679,111,91227
1700,111,93315
1716,111,97848
1739,111,102299
1763,111,106842
1776,111,113061
1793,111,118232
