confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,30
0,0,30
0,0,32
0,0,32
0,0,183
0,0,183
0,0,193
0,0,517
0,0,517
1,0,530
1,0,1028
1,0,1081
1,0,1107
1,0,1588
1,0,2125
1,0,2575
1,0,2575
1,0,3794
1,0,5367
2,0,7015
3,0,9357
3,0,12285
3,0,14709
3,0,16780
5,0,19259
5,0,22647
5,0,26743
7,0,30513
7,0,34219
7,0,38080
7,0,40437
8,0,43208
12,1,48021
12,1,52165
21,1,55668
21,1,59109
25,1,62391
60,2,64727
60,2,67504
80,5,70853
80,5,74797
116,6,74797
135,7,74797
164,7,77357
237,8,80587
286,8,82514
286,8,85915
328,16,89250
328,16,92355
390,18,95708
436,23,98372
480,26,100875
528,28,102548
582,28,108947
601,28,112050
601,28,112050
671,31,117248
722,32,118902
756,35,121343
835,38,123486
873,39,126002
928,44,128511
928,44,131148
997,48,133952
1054,51,136166
1089,52,137139
1170,52,138980
1219,52,140823
1284,53,143374
1284,53,144783
1357,55,146446
1421,56,146446
1455,57,150376
1502,59,150376
1573,61,150376
1594,61,150376
1594,61,150376
1594,61,150376
1594,61,150376
1689,66,150376
1711,67,150376
1731,67,150376
1828,72,150376
1828,72,150376
1916,73,150376
1976,78,150376
2023,79,150376
2089,79,150376
2146,79,150376
2204,79,150376
2204,79,150376
2289,82,150376
2334,83,150376
2368,84,150376
2416,85,150376
2452,85,150376
2513,85,150376
2513,85,150376
2579,87,150376
2618,88,150376
2642,88,150376
2658,88,150376
2696,88,150376
2719,88,150376
2719,88,150376
2755,88,150376
2779,90,150376
2812,90,150376
2812,90,150376
2835,90,150376
2878,90,150376
2878,90,150376
2878,90,150376
2894,90,150376
2904,90,150376
2924,90,150376
2924,90,150376
2944,90,150376
2944,90,150376
2961,92,150376
2997,92,150376
3006,92,150376
3015,92,150376
3028,92,150376
3038,92,150376
3038,92,150376
