confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
1,0,1
1,0,1
3,0,1
3,0,1
7,0,1
13,0,1
17,0,1
24,0,1
38,0,1
51,0,1
62,0,1
62,0,1
116,0,1
150,0,3
202,0,3
240,0,1
274,0,3
402,0,3
554,0,2
709,0,3
927,0,7
1170,1,7
1187,1,9
1280,2,11
1326,3,15
1353,5,17
1380,5,21
1462,5,21
1505,9,24
1585,9,27
1655,11,33
1686,12,38
1749,13,42
1845,18,44
1934,18,49
2003,24,54
2028,25,54
2173,25,56
2272,27,56
2415,27,61
2506,34,63
2605,48,68
2783,50,77
3034,52,86
3158,54,96
3300,58,98
3465,58,102
3635,65,105
3953,75,107
4220,79,109
4361,86,118
4546,87,120
4793,90,126
4996,93,134
5350,103,136
5647,103,154
5951,116,162
6336,123,172
6783,131,184
7220,138,194
7572,148,213
7808,153,215
8232,161,232
8895,178,240
9420,186,260
10015,194,321
10652,206,343
11350,206,366
12074,219,382
12739,238,445
13524,247,477
14355,261,520
15515,264,538
16433,286,559
17200,312,569
18003,339,584
19137,369,604
20125,397,620
21343,407,660
22583,429,674
23615,481,695
24264,524,712
25937,552,732
27403,577,745
29240,611,754
30967,643,781
32683,683,801
34357,705,811
35812,755,823
37525,792,836
40792,848,839
43434,908,858
45973,952,891
48285,998,941
50879,1080,990
52991,1162,1057
55421,1210,1122
58568,1284,1150
61927,1354,1196
65736,1423,1252
70038,1480,1287
73533,1568,1342
76334,1625,1371
80412,1674,1397
83890,1737,1421
87715,1831,1446
92681,1877,1472
97302,1930,1498
101590,1991,1526
106108,2102,1548
111796,2205,1562
118375,2292,1602
124590,2340,1619
131800,2413,1639
138134,2456,1661
144264,2529,1678
151209,2657,1711
159333,2749,1748
168061,2844,1827
177124,2952,1863
187977,3026,1885
196750,3199,1903
205721,3310,1917
215855,3502,1955
224665,3602,1967
238339,3720,1979
250687,3860,1980
