confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
2,0,0
6,0,0
10,0,0
18,0,0
28,0,0
44,0,0
51,0,0
60,0,0
73,0,0
77,0,0
82,0,0
97,0,0
102,0,0
102,0,0
106,0,0
106,0,0
113,1,0
117,1,0
122,2,0
143,2,0
146,3,0
151,4,0
159,4,0
166,5,0
176,5,0
178,5,0
185,6,0
189,7,3
190,7,4
190,7,4
198,7,4
210,7,4
217,7,6
233,7,6
238,7,6
238,7,6
244,7,6
254,7,6
271,7,6
304,7,6
310,7,6
330,7,6
368,7,6
420,7,7
460,7,7
523,7,7
588,7,7
619,7,7
649,7,8
663,7,8
690,7,8
705,7,8
718,7,9
751,8,9
771,9,9
797,9,9
824,9,9
835,9,9
847,9,9
863,9,9
869,9,9
889,9,9
915,9,9
925,9,9
935,9,9
960,9,9
981,9,9
992,9,9
1027,9,9
1028,9,9
1055,9,9
1068,9,9
1089,9,9
1141,9,9
1182,10,9
1319,10,9
1469,10,9
1530,10,9
1558,10,9
1620,10,9
1633,10,9
1643,11,9
1683,11,9
1749,11,9
1797,11,9
1801,11,9
1814,11,9
1835,11,9
1857,11,9
1859,11,9
1869,11,9
1877,11,9
1880,11,9
1884,11,9
1889,11,9
1905,11,48
1915,11,48
1924,11,48
1947,11,74
1950,11,74
1950,11,74
1950,11,106
1951,11,132
1991,11,132
2001,11,154
2010,11,176
2014,11,181
2033,11,191
2037,11,199
2039,11,217
2047,11,227
2054,11,242
2066,11,252
2069,11,267
2074,11,276
2076,11,292
2077,11,315
2081,11,405
2094,11,434
2154,11,456
2454,11,481
