confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
2,1,0
2,1,0
2,1,0
2,1,0
2,1,0
2,1,0
3,1,0
3,1,0
3,1,0
3,1,0
5,1,0
6,1,0
6,2,0
7,2,0
7,2,0
8,2,0
10,2,0
10,2,0
12,2,0
12,2,0
14,2,0
14,2,0
15,2,0
17,2,0
19,2,0
19,2,0
29,4,0
32,5,0
32,5,0
32,5,0
33,6,0
66,10,0
66,10,0
107,12,0
107,12,0
140,13,0
174,16,0
174,16,0
213,17,0
237,21,0
275,22,0
318,25,0
375,28,0
442,31,0
533,36,0
592,41,0
592,41,0
678,41,0
778,45,0
852,49,0
930,52,0
1111,59,0
1164,64,0
1365,70,0
1526,74,0
1661,80,0
1818,90,0
1818,90,0
1964,91,0
2289,97,0
2289,97,0
2591,105,0
2728,111,0
2728,111,0
3138,121,0
3378,137,0
3628,146,0
3820,165,0
3976,170,0
3976,170,0
4346,195,0
4346,195,0
4521,233,0
4800,262,0
5026,286,0
5173,298,0
5310,307,0
5499,314,0
5714,333,0
5865,347,0
6081,359,0
6081,359,0
6242,372,0
6427,389,0
6582,401,0
6730,413,0
6879,433,0
7007,447,0
7220,459,0
7435,468,0
7740,477,0
8020,487,0
8020,487,0
8316,506,0
8580,521,0
8580,521,0
8698,533,0
8889,548,0
8889,548,0
8984,556,0
9257,572,0
9257,572,0
9257,572,0
9257,572,0
9257,572,0
9573,602,0
9573,602,0
9663,604,0
9767,608,0
9767,608,0
9894,616,0
9997,622,0
10084,636,0
10158,641,0
10204,649,0
