confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,2
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,4
0,0,4
0,0,4
1,0,4
1,0,4
1,0,4
1,0,4
1,0,15
1,0,15
4,0,15
4,0,15
5,0,131
5,0,131
7,0,131
8,0,131
8,0,131
8,0,1530
8,0,1530
8,0,1595
8,0,1823
9,0,1823
10,0,2967
10,0,4013
10,1,4846
10,1,6415
10,1,6415
10,1,8056
10,1,8704
10,1,9800
10,1,10600
10,1,11100
10,1,12100
10,1,12700
10,1,13700
10,1,13700
10,1,15400
10,1,15900
10,1,16400
10,1,17100
10,1,17800
10,1,18600
10,1,19400
10,1,19900
10,1,20600
10,1,21000
10,1,21300
10,1,21800
10,1,22200
10,1,22600
10,1,22600
10,1,23400
10,1,23900
10,1,24200
10,1,24500
10,1,25200
10,1,25400
10,1,25700
10,1,25900
10,1,26100
10,1,26400
10,1,26600
10,1,26800
10,1,26800
10,1,27100
10,1,27100
10,1,27100
10,1,27400
10,1,27500
11,1,27600
11,1,27700
11,1,27800
11,1,27900
11,1,27900
11,1,28000
11,1,28100
11,1,28200
11,1,28200
12,1,28300
12,1,28300
12,1,28300
14,1,28400
23,1,28500
44,1,28500
54,1,28500
74,1,28600
82,1,28600
90,1,28600
100,1,28700
122,1,28700
128,2,28700
137,2,28700
144,2,28700
168,2,28800
187,3,28800
196,3,28800
208,3,28800
229,5,28900
236,6,28900
261,6,28900
277,7,28900
293,8,28900
303,8,28900
314,8,29000
319,8,29000
319,9,29000
357,10,29000
373,10,29000
389,10,29000
467,11,29100
490,11,29100
501,13,29100
515,13,29200
535,13,29200
547,13,29200
561,13,29200
565,14,29200
594,14,29300
614,14,29300
634,15,29300
665,17,29400
694,17,29400
726,18,29400
