confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,5
1,0,5
1,0,5
8,0,5
8,0,6
18,0,9
27,0,9
42,0,12
56,0,12
90,0,12
114,1,12
214,1,12
268,1,12
337,2,13
374,2,15
491,3,17
652,4,17
652,4,20
1139,11,20
1359,13,20
2200,14,20
2200,14,20
2700,27,22
3028,28,22
4075,41,26
5294,54,26
6575,75,28
7474,98,28
8795,120,28
9877,122,29
10897,153,29
11811,191,29
12928,231,29
14076,264,30
14829,300,30
15922,359,39
16605,433,39
17768,488,39
18827,536,45
19606,591,50
20505,666,50
21100,715,50
21657,765,57
22253,821,57
23280,895,61
24051,948,67
24551,1002,91
25107,1036,99
25415,1106,109
25688,1138,109
25936,1174,124
26336,1239,124
26732,1281,155
27078,1327,166
27404,1368,178
27740,1393,189
27944,1429,203
28063,1478,217
28268,1509,236
28496,1549,253
28677,1589,264
28894,1599,275
29061,1610,281
29164,1665,290
29264,1699,307
29407,1716,311
29586,1737,322
29705,1754,324
29817,1762,324
29905,1762,332
29981,1784,334
30009,1795,334
30060,1805,339
30126,1810,347
30207,1823,355
30251,1830,361
30305,1833,366
30344,1845,368
30380,1867,372
30413,1870,375
30463,1872,383
30514,1878,387
30572,1879,389
30587,1881,395
30597,1886,398
30618,1891,398
30658,1892,398
30694,1898,398
30707,1903,408
30725,1905,411
30736,1906,414
30746,1913,415
30761,1915,416
30776,1917,419
30796,1919,420
30828,1919,420
30845,1919,421
30862,1920,423
30871,1920,427
30874,1920,427
30893,1921,428
30913,1921,428
30936,1921,429
30956,1921,429
30965,1921,430
30972,1923,430
30988,1934,431
31011,1936,431
31044,1937,431
31063,1938,431
31094,1938,431
31117,1938,431
31131,1939,433
31154,1954,433
31187,1956,434
31200,1956,434
31235,1956,434
31243,1956,434
31292,1956,434
31310,1956,435
31332,1956,435
31376,1958,435
31428,1958,435
31486,1962,435
31555,1962,435
31617,1962,435
31652,1962,435
31714,1963,437
31851,1965,438
31967,1965,438
32101,1965,438
32198,1965,438
32268,1965,438
32315,1965,438
32369,1966,438
32498,1966,438
32586,1966,438
32690,1966,438
