confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
5,0,0
5,0,0
5,0,0
5,0,0
9,1,0
10,2,0
10,2,0
10,2,0
16,2,0
16,2,0
16,2,0
19,2,0
19,2,0
19,2,0
19,2,0
19,2,0
19,2,0
25,2,0
25,2,0
25,2,1
29,2,1
33,2,1
33,2,1
38,2,1
38,2,1
39,3,1
39,3,1
42,3,1
42,3,1
42,3,1
42,3,1
42,3,1
43,3,1
43,3,3
43,3,3
43,3,3
43,3,3
44,3,3
44,3,3
44,3,3
44,3,3
44,3,3
45,3,3
45,3,3
47,3,3
47,3,3
47,3,3
47,3,3
47,3,3
48,3,3
48,3,3
50,3,3
51,3,3
58,3,3
58,3,3
58,3,3
58,3,3
58,3,3
59,4,3
70,4,3
86,4,3
106,4,3
121,4,3
121,4,3
122,4,3
122,4,3
122,4,3
122,5,3
123,5,3
123,6,3
123,6,3
124,6,3
124,6,3
125,6,3
141,6,3
144,6,3
146,6,3
152,6,3
164,6,3
164,6,3
170,6,3
177,6,3
177,6,3
177,6,3
178,7,3
187,7,3
187,7,3
198,7,3
204,7,3
219,7,3
231,7,3
231,7,3
242,7,3
255,8,3
256,9,3
256,9,3
269,9,3
279,9,3
293,9,3
312,9,3
328,10,3
338,10,3
358,13,3
372,14,3
372,14,3
372,14,3
372,14,3
394,16,3
