confirmed,death,recover
1,0,0
1,0,0
3,0,0
3,0,0
4,0,0
5,0,0
8,0,0
8,0,0
9,0,0
10,0,0
10,0,0
10,0,0
10,0,0
11,0,0
11,0,0
16,0,0
16,0,0
17,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
20,1,0
22,1,0
22,1,0
23,1,0
24,1,0
26,1,0
26,1,0
28,1,0
30,1,0
31,1,0
32,1,0
32,1,0
34,1,0
39,1,0
40,1,0
41,1,0
42,1,0
42,1,0
44,1,0
45,1,0
45,1,0
45,1,0
45,1,0
47,1,0
48,1,0
49,1,0
50,1,0
53,1,0
59,1,0
67,1,0
77,1,0
100,1,0
108,1,0
135,2,0
153,2,0
169,2,0
195,2,0
215,2,0
235,2,0
252,2,0
267,2,1
283,2,1
298,2,1
306,5,1
322,5,1
329,5,1
339,5,2
348,5,3
355,5,3
363,5,3
373,5,3
376,5,5
379,5,5
380,5,5
382,6,5
385,6,5
388,6,5
393,6,7
393,6,7
395,6,11
395,6,11
395,6,11
398,6,11
420,6,11
422,6,11
425,6,11
426,6,11
427,6,11
428,6,48
429,6,48
429,6,48
429,6,48
429,6,48
429,6,167
429,6,167
429,6,167
432,6,167
436,6,167
438,6,167
438,6,167
439,6,167
440,6,167
440,6,183
440,6,183
440,6,183
440,7,183
440,7,183
440,7,183
440,7,183
440,7,183
440,7,183
440,7,183
440,7,183
440,7,183
440,7,183
440,7,183
441,7,183
441,7,183
441,7,183
441,7,183
441,7,183
441,7,183
441,7,183
442,7,183
442,7,183
442,7,183
443,7,183
443,7,183
443,7,183
443,7,183
443,7,183
443,7,183
443,7,183
443,7,183
443,7,183
443,7,183
443,7,183
443,7,183
443,7,183
443,7,183
445,7,183
445,7,183
445,7,183
446,7,183
446,7,183
446,7,183
446,7,183
446,7,183
446,7,183
446,7,183
447,7,183
447,7,183
447,7,183
447,7,183
447,7,183
447,7,183
447,7,183
448,7,183
449,7,183
449,7,183
449,7,183
449,7,183
449,7,183
449,7,183
449,7,183
449,7,183
