confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,2
0,0,2
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,12
0,0,12
0,0,12
0,0,14
0,0,15
0,0,15
0,0,15
0,0,15
0,0,17
0,0,17
0,0,21
0,0,21
0,0,22
0,0,22
0,0,22
0,0,28
0,0,28
0,0,28
0,0,31
0,0,31
0,0,31
0,0,31
0,0,31
0,0,31
0,0,31
0,0,31
0,0,33
0,0,34
0,0,34
0,0,35
0,0,35
0,0,35
1,0,35
1,0,41
3,0,42
6,0,42
6,0,42
6,0,42
12,0,44
12,0,44
12,0,52
12,0,70
13,0,88
13,0,97
14,0,97
14,0,97
19,0,229
19,1,342
20,1,505
20,1,505
20,1,612
20,1,674
22,1,793
24,1,793
24,1,888
25,1,888
25,1,940
32,3,1013
32,3,1135
32,3,1218
49,3,1288
53,3,1405
88,4,1497
94,4,1593
147,5,1689
147,5,1787
170,7,1928
254,10,1999
254,10,2108
284,10,2352
284,10,2430
299,10,2547
299,10,2547
299,10,2594
299,10,2609
299,10,2652
480,16,2665
480,16,2684
480,16,2719
480,16,2732
480,16,2739
480,16,2740
480,16,2747
480,16,2761
480,16,2772
509,21,2784
509,21,2787
509,21,2794
509,21,2796
509,21,2798
509,21,2844
509,21,2850
509,21,2854
509,21,2855
509,21,2856
509,21,2857
509,21,2857
509,21,2888
509,21,2897
509,21,2910
509,21,2916
509,21,2921
509,21,2928
509,21,2929
509,21,2931
509,21,2945
509,21,2945
509,21,2961
509,21,2963
509,21,2965
509,21,2966
509,21,2968
509,21,2968
509,21,2971
509,21,2971
509,21,2972
509,21,2973
509,21,2973
509,21,2981
509,21,2987
509,21,2987
509,21,2987
509,21,2987
509,21,2987
509,21,2993
509,21,2996
509,21,2997
509,21,3008
509,21,3018
509,21,3018
509,21,3022
509,21,3023
509,21,3038
509,21,3038
509,21,3040
509,21,3053
509,21,3053
509,21,3053
509,21,3056
509,21,3059
509,21,3059
509,21,3066
509,21,3066
509,21,3071
509,21,3072
509,21,3074
509,21,3074
509,21,3085
509,21,3087
