confirmed,death,recover
2,0,0
3,0,0
5,0,0
7,0,0
8,0,0
8,0,0
14,0,0
14,0,0
14,0,0
19,0,0
19,0,0
19,0,0
19,0,0
25,0,0
25,0,0
25,0,0
25,0,0
32,0,0
32,0,0
32,0,0
33,0,0
33,0,0
33,0,0
33,0,0
33,0,0
34,0,0
35,0,0
35,0,0
35,0,0
35,0,0
35,0,0
35,0,0
35,0,0
35,0,0
37,0,0
40,0,0
40,0,0
41,0,0
42,0,0
42,1,0
43,1,0
43,1,0
43,1,0
47,1,0
48,1,0
50,1,0
50,1,0
50,1,0
53,1,0
59,1,0
70,1,0
75,1,0
82,1,0
114,1,0
147,1,0
177,1,0
212,1,0
272,1,0
322,1,0
411,1,0
599,1,0
721,1,0
827,4,0
934,4,0
1045,4,0
1136,5,0
1245,6,0
1388,7,0
1524,9,0
1651,10,0
1771,12,0
1875,15,0
1978,19,0
2067,20,0
2169,23,0
2220,26,0
2258,27,0
2369,30,0
2423,32,0
2473,33,1
2518,35,1
2551,38,1
2579,40,1
2613,41,1
2643,43,1
2672,46,1
2700,47,1
2733,47,1
2765,47,1
2792,47,1
2811,48,1
2826,49,1
2839,50,1
2907,51,2
2907,51,2
2922,51,2
2931,52,2
2938,54,6
2947,54,6
2954,54,16
2960,54,16
2966,54,16
2969,54,16
2987,54,20
2988,54,20
2989,55,20
2992,55,21
3000,55,21
3004,56,21
3009,56,21
3015,56,21
3017,56,21
3017,56,21
3018,56,21
3025,56,24
3025,56,24
3028,56,24
3031,56,24
3033,56,24
3034,56,24
3037,56,24
3037,56,24
3040,56,24
3040,56,24
3042,57,24
3045,57,24
3054,57,24
3065,57,24
3076,57,24
3077,57,24
3081,57,24
3082,57,24
3083,58,24
3084,58,24
3101,58,24
3102,58,24
3104,58,24
3112,58,24
3119,58,24
3121,58,24
3125,58,24
3125,58,24
3129,58,24
3134,58,24
3135,58,24
3135,58,24
3135,58,24
3135,58,24
3141,58,24
3146,58,24
3147,58,24
3148,58,24
3151,58,24
3156,58,24
3158,58,24
3158,58,24
3162,58,24
3162,58,24
3162,58,24
3169,58,24
3171,58,24
3173,58,24
3179,58,24
3180,58,24
3185,58,24
3190,58,24
3195,58,24
3197,58,24
3197,58,24
3202,58,24
3202,58,24
