confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
2,0,0
4,0,0
5,0,0
7,0,0
9,0,0
9,0,0
49,0,1
50,0,1
51,0,1
57,0,0
60,1,0
65,1,0
66,2,1
74,3,1
78,3,1
82,3,1
87,3,1
90,5,1
94,5,1
98,6,1
103,6,1
104,7,1
105,8,1
107,8,1
107,8,1
109,8,1
109,8,1
112,8,12
113,8,16
113,8,16
113,8,17
114,8,19
114,8,20
114,8,20
114,8,21
114,8,21
114,8,22
115,8,28
115,8,37
115,8,48
115,8,48
115,8,53
115,8,54
116,8,59
116,8,59
116,8,71
116,8,72
116,8,83
116,8,88
116,8,93
116,8,99
116,8,103
116,8,103
116,8,103
116,8,103
116,8,104
116,8,107
116,8,107
116,8,107
116,8,107
116,8,107
116,8,107
116,8,107
116,8,107
116,8,107
116,8,107
116,8,107
116,8,108
116,8,108
116,8,108
116,8,108
116,8,108
116,8,108
116,8,108
116,8,108
116,8,108
117,8,108
117,8,108
117,8,108
117,8,108
117,8,108
117,8,108
117,8,108
117,8,108
117,8,108
117,8,109
117,8,109
117,8,109
117,8,109
117,8,109
117,8,109
123,8,109
123,8,109
123,8,109
123,8,109
123,8,109
123,8,109
123,8,109
123,8,109
123,8,109
123,8,109
123,8,109
123,8,109
124,8,109
126,8,109
126,8,109
126,8,109
130,8,113
130,8,115
130,8,115
130,8,115
130,8,115
133,8,115
133,8,117
133,8,117
133,8,117
133,8,120
133,8,120
