confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
5,0,0
5,0,0
6,0,0
18,0,0
47,1,0
98,1,0
192,3,0
359,4,0
670,9,0
1236,30,0
1529,37,0
1872,44,0
2433,59,26
3629,75,26
5698,92,42
7402,108,70
9217,131,105
10827,168,162
13531,214,243
15679,277,333
18135,356,415
20921,425,484
23934,501,786
27069,574,1042
30217,649,1326
34109,725,1582
38226,812,1846
42282,908,2142
47029,1006,2423
52167,1101,2965
56956,1198,3446
61049,1296,3957
65111,1403,4799
69392,1518,5674
74193,1643,7089
78546,1769,8631
82329,1890,10453
86306,2017,11976
90980,2140,13430
95591,2259,14918
98674,2376,16477
101790,2491,18491
104912,2600,21737
107773,2706,25582
110130,2805,29140
112261,2900,33791
114653,2992,38809
117589,3081,44040
120204,3174,48886
122392,3258,53808
124375,3336,58259
126045,3397,63151
127659,3461,68166
129491,3520,73285
131744,3584,78202
133721,3641,82984
135569,3689,86396
137115,3739,89480
138657,3786,92691
139771,3841,95780
141475,3894,98889
143114,3952,101715
144749,4007,104030
146457,4055,106133
148067,4096,108137
149435,4140,109962
150593,4171,111577
151615,4199,112895
152587,4222,113987
153548,4249,114990
154500,4276,116111
155686,4308,117602
156827,4340,118694
157814,4369,120015
158762,4397,121507
159797,4431,122793
160979,4461,124369
162120,4489,125963
163103,4515,126984
163942,4540,127973
164769,4563,128947
165555,4585,129921
166422,4609,130852
167410,4630,131778
168340,4648,133400
169218,4669,135322
170132,4692,137969
171121,4711,141380
172114,4729,144598
173036,4746,146839
174023,4763,147860
175218,4778,149102
176677,4792,150087
178239,4807,151417
179831,4825,152364
181298,4842,153379
182727,4861,154640
184031,4882,156022
185245,4905,157516
186493,4927,158828
187685,4950,160240
188897,4974,161533
190165,5001,162848
191657,5025,164234
193115,5046,165706
194511,5065,167198
195883,5082,169182
197239,5097,170595
198613,5115,171809
199906,5131,173111
201098,5150,175422
202284,5167,176965
203456,5186,178278
204610,5206,179492
205758,5225,180680
206844,5241,182995
207897,5260,185292
208938,5282,187511
209962,5300,190390
210965,5323,191883
