confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
9,0,0
9,0,0
14,0,0
14,0,0
23,0,0
30,0,0
33,0,0
33,0,0
44,0,0
44,0,0
45,0,0
48,0,0
48,0,0
52,0,0
52,0,0
52,0,0
53,0,0
53,0,0
53,0,0
53,0,4
54,0,4
54,0,7
55,0,8
55,0,12
55,0,20
56,0,20
55,0,22
55,0,28
56,0,38
61,0,38
63,0,45
74,0,46
75,0,46
75,0,46
79,0,46
79,0,47
79,0,52
81,0,52
83,0,52
85,0,52
88,0,52
89,0,52
97,0,55
98,0,55
100,0,55
101,0,55
101,0,55
116,0,55
121,0,55
121,0,55
129,0,55
139,0,55
160,0,63
203,0,63
227,0,63
227,0,63
248,0,63
260,0,63
264,0,65
160,0,66
175,0,68
198,0,68
198,0,68
222,0,69
253,0,69
281,0,69
317,0,69
329,0,72
413,0,72
417,0,72
457,0,72
489,0,82
507,0,82
522,0,82
557,0,82
593,0,82
616,0,96
646,0,103
657,0,118
665,0,119
679,0,161
686,0,161
694,0,219
696,0,240
705,0,299
724,0,351
732,0,420
741,0,486
755,0,492
763,0,492
770,0,578
774,0,631
797,0,699
805,0,717
821,0,731
833,0,761
848,0,761
859,0,794
870,0,808
889,0,819
893,0,837
902,0,847
911,0,849
927,0,868
939,0,891
953,0,892
971,0,896
977,0,904
1000,0,908
1006,0,938
