confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
3,1,0
3,1,0
3,1,0
7,1,0
14,2,0
14,2,0
16,2,0
29,3,0
47,3,1
73,3,1
73,3,1
97,3,1
145,5,1
196,5,1
310,5,5
356,9,5
475,10,6
548,13,8
645,17,10
794,20,13
897,22,19
1072,27,22
1225,32,25
1308,37,28
1319,38,28
1462,45,28
1668,52,35
1892,57,45
2203,69,61
2511,73,79
2777,83,89
3102,93,97
3372,98,119
3764,108,143
4161,116,186
4662,125,246
5106,133,275
5449,141,347
5710,151,359
6125,161,367
6592,174,424
7170,187,504
7647,201,782
8125,201,782
8617,209,840
9009,220,864
9410,239,992
9866,250,1103
10406,261,1238
10861,272,1413
11411,279,1498
11913,288,1548
12331,303,1619
12697,316,1875
13184,327,2097
13691,340,2396
14195,361,2706
14710,376,2909
15232,391,3060
15648,408,3288
16023,425,3373
16425,439,3716
16847,456,4143
17330,476,4473
17858,497,4906
18291,514,5116
18616,535,5276
18876,548,5632
19230,564,5955
19706,579,6227
20148,588,6585
20580,605,6929
20986,617,7108
21245,623,7234
21584,644,7575
21905,658,7995
22382,669,8439
22811,679,8934
23204,696,9311
23672,708,9538
24562,724,10053
24895,733,10461
25385,742,10838
25981,755,11468
26542,770,11815
27101,785,12265
27599,796,12513
28077,805,12657
28479,818,12892
29015,841,13257
29706,864,13642
30415,880,14075
31177,890,14489
31851,899,14596
32536,911,14771
33209,922,15054
33986,953,15485
34833,976,16001
35755,995,16588
36615,1004,16974
37361,1012,17078
38056,1022,17211
38901,1045,17538
39852,1061,18009
40854,1078,18365
41975,1097,18927
42932,1121,19350
43856,1142,19585
44538,1161,19679
45254,1173,19792
45924,1188,20244
46821,1200,20755
47705,1227,21296
48628,1243,21907
49468,1265,22131
50053,1278,22462
50622,1299,22970
51457,1323,23912
52285,1344,24606
53116,1362,25634
