confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4,0,0
4,0,0
4,0,0
4,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
7,0,0
7,0,0
8,0,0
8,0,0
8,0,1
8,0,1
8,0,1
8,0,3
9,0,4
9,0,4
9,0,4
9,0,4
9,0,4
9,0,4
13,0,4
13,0,4
13,0,4
13,0,4
13,0,4
13,0,4
19,0,5
21,0,5
21,0,5
21,0,5
27,0,5
27,0,5
29,0,5
29,0,5
45,0,7
45,0,7
45,0,7
74,0,12
74,0,17
85,0,17
85,0,17
85,0,17
98,0,23
98,0,23
98,0,23
113,0,26
140,0,31
140,2,31
153,2,38
153,2,38
198,2,38
248,2,45
333,2,52
333,2,52
405,2,52
468,2,52
570,3,58
611,5,61
664,6,61
814,8,61
1024,8,96
1264,9,108
1505,10,125
1799,10,144
2076,11,167
2359,12,186
2659,12,239
2990,14,268
3360,16,418
3736,20,588
4123,22,680
4521,25,852
4933,28,933
5365,33,1034
5825,35,1095
6302,37,1188
6302,37,1188
6781,41,1286
7265,43,1360
7755,46,1443
8238,52,1546
8756,56,1637
9281,64,1760
9813,71,1887
10349,76,1978
10839,82,2090
11380,89,2181
11929,98,2329
12481,105,2429
13038,111,2543
13599,119,2664
14163,126,2763
14730,137,2966
15192,146,3153
15738,157,3359
16240,165,3572
16793,174,3837
17417,185,4295
18198,198,4804
18878,201,5381
19661,203,6012
20386,206,6523
21084,208,6930
21831,210,7328
22627,214,7931
23358,220,8512
24190,224,9577
25063,227,10791
26004,233,11809
26898,237,12755
27892,241,13798
28704,244,14495
29485,245,15056
30307,248,15657
31086,253,15982
31969,255,16371
32532,258,16685
33170,260,17097
33896,262,17546
34557,264,17932
35192,266,18338
35788,269,18726
36359,270,19153
37018,273,19572
37642,274,20337
38268,275,21061
38808,276,21806
39376,281,22275
39904,283,22740
40507,284,24017
40986,286,25234
41499,287,25946
41990,288,26761
42294,289,27462
42636,291,28129
42982,293,28861
43364,295,29537
43752,298,30241
44145,300,30996
44533,301,31754
44925,302,32415
45303,303,33046
45683,305,33703
46133,307,34405
46563,308,35165
46973,310,35469
47360,311,35834
47797,313,36411
48246,314,37076
48667,315,37566
49069,316,38160
49469,317,38664
50141,318,39153
50857,321,39857
51540,323,40297
52068,324,40721
52600,326,41714
53045,327,42282
53577,328,43570
54050,330,43969
