confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
2,0,0
2,0,0
8,0,0
8,0,0
9,0,0
9,0,0
9,0,0
13,0,0
14,0,0
14,0,0
15,0,0
16,0,1
17,0,1
18,0,1
18,0,1
18,0,8
19,0,8
19,0,8
20,0,8
22,0,8
23,0,8
23,0,8
28,0,8
30,0,8
34,0,8
37,0,8
44,0,8
56,0,8
61,0,8
94,0,8
134,0,8
189,0,8
245,0,8
294,0,8
373,1,8
428,2,18
482,2,18
629,3,18
887,7,18
1298,7,18
1787,9,18
2266,10,18
2630,28,18
3072,43,18
3684,65,20
4452,81,52
5451,115,65
6506,158,65
7760,194,65
8957,250,65
10333,285,65
12668,359,65
15039,508,135
17732,694,135
20816,877,135
24017,1161,135
26839,1455,135
29696,1669,135
33969,2043,135
38484,2425,135
43398,3095,135
48263,3747,135
53178,4461,135
57198,5221,135
60792,5865,135
66067,6433,135
71517,7471,135
76646,8505,135
81498,9608,135
85813,10760,344
89390,11599,344
92885,12285,344
97068,13029,0
101393,14073,0
106458,14915,0
111756,15944,0
116721,16879,0
121437,17994,0
125289,18492,0
130147,19051,0
134907,20223,0
140397,21060,0
145540,21787,0
150513,22792,0
154261,23635,0
157729,24055,0
162431,24393,0
167152,25302,0
172587,26097,0
177543,26771,0
182270,27510,0
185491,28131,0
188465,28446,0
191843,28734,0
195527,29427,0
199358,30076,0
203125,30615,0
206174,31241,0
208324,31587,0
210645,31855,0
214228,32065,0
217617,32692,0
220915,33186,0
223524,33614,0
226041,33998,0
228106,34466,0
229932,34636,0
232506,34796,0
235547,35341,0
238253,35704,0
240795,36042,0
242825,36393,0
244332,36675,0
245680,36793,0
247287,36914,0
248937,37048,0
250739,37460,0
252473,37837,0
253977,38161,0
255076,38376,0
256145,38489,0
257579,39045,0
259046,39369,0
260388,39728,0
261622,39904,0
262727,40261,0
263518,40465,0
264235,40542,0
265321,40597,0
266474,40883,0
267656,41128,0
268657,41279,0
269710,41481,0
270597,41662,0
271404,41698,0
272430,41736,0
273507,41969,0
274504,42153,0
275524,42288,0
276504,42461,0
277170,42589,0
277792,42632,0
278684,42647,0
279566,42927,0
280340,43081,0
281037,43230,0
281675,43414,0
282308,43514,0
282703,43550,0
283307,43575,0
283710,43730,0
283770,43906,0
283774,43995,0
284276,44131,0
284900,44198,0
285416,44220,0
285768,44236,0
286349,44391,0
286979,44517,0
287621,44602,0
288133,44650,0
