confirmed,death,recover
0,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
6,0,1
6,0,1
8,0,1
8,0,1
8,0,1
10,0,1
10,0,1
13,0,1
13,0,1
14,0,1
15,0,6
15,0,6
16,0,7
16,0,7
16,0,7
16,0,7
16,0,7
16,0,7
16,0,7
16,0,7
16,0,14
16,0,14
16,0,14
16,0,14
16,0,16
16,0,16
16,0,16
16,0,16
16,0,16
16,0,16
16,0,16
16,0,16
16,0,16
16,0,16
16,0,16
18,0,16
30,0,16
30,0,16
31,0,16
38,0,16
39,0,16
47,0,16
53,0,16
56,0,16
61,0,16
66,0,16
75,0,16
85,0,16
91,0,16
94,0,17
113,0,17
123,0,17
134,0,17
141,0,17
153,0,20
163,0,20
174,0,21
188,0,25
203,0,55
212,0,58
218,0,63
233,0,75
237,0,85
240,0,90
241,0,90
245,0,95
249,0,123
251,0,126
255,0,128
257,0,144
258,0,144
262,0,144
265,0,146
266,0,169
267,0,171
268,0,177
268,0,198
268,0,201
268,0,202
268,0,214
268,0,216
268,0,223
268,0,224
270,0,220
270,0,225
270,0,225
270,0,225
270,0,222
270,0,222
270,0,219
270,0,219
270,0,219
271,0,219
271,0,219
271,0,232
271,0,232
288,0,233
288,0,241
288,0,241
288,0,241
288,0,249
288,0,252
288,0,252
312,0,260
314,0,260
318,0,260
320,0,260
324,0,263
324,0,263
324,0,263
324,0,266
324,0,267
325,0,267
325,0,267
326,0,272
327,0,272
327,0,278
327,0,278
328,0,279
328,0,279
328,0,279
328,0,293
328,0,298
328,0,302
328,0,302
328,0,307
329,0,307
331,0,307
332,0,316
332,0,316
332,0,320
332,0,321
333,0,323
334,0,323
334,0,323
334,0,323
334,0,325
335,0,325
342,0,325
349,0,326
349,0,327
349,0,327
349,0,328
349,0,329
352,0,329
352,0,329
353,0,330
355,0,330
355,0,330
355,0,335
355,0,335
355,0,336
355,0,340
355,0,340
355,0,340
355,0,340
369,0,341
369,0,342
369,0,347
369,0,347
370,0,350
