confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4,0,0
7,0,0
16,0,0
16,0,0
19,0,0
26,0,0
30,0,0
30,0,0
31,0,0
35,0,0
38,0,0
38,0,0
39,0,0
41,0,0
44,0,0
47,0,0
48,0,0
52,0,0
59,0,0
59,0,0
59,0,0
84,1,0
91,1,0
98,1,0
109,1,0
116,1,0
119,1,0
134,1,0
161,1,0
194,1,0
217,1,0
237,1,0
254,1,0
261,1,0
263,1,0
263,1,0
267,2,0
268,2,0
271,2,0
273,2,0
284,2,0
291,2,0
294,2,0
307,2,0
313,2,0
319,2,0
329,2,4
329,2,4
335,2,4
336,2,4
340,2,4
342,2,4
342,2,4
342,2,4
343,2,4
344,2,4
344,2,4
353,2,4
353,2,7
353,2,7
362,2,7
371,2,7
374,2,7
375,2,7
375,2,7
375,2,7
375,2,7
375,2,7
375,2,7
375,2,7
375,2,7
375,2,7
376,2,7
381,2,15
388,2,20
391,2,20
398,2,20
423,2,20
423,2,20
423,3,20
423,3,20
423,3,20
429,3,20
434,3,20
446,3,20
446,3,20
447,3,33
448,3,33
449,3,33
451,3,33
457,3,33
464,3,33
464,3,33
464,3,45
472,3,45
473,3,45
481,3,45
485,3,45
487,3,45
489,3,45
489,3,45
492,3,45
505,3,45
514,3,75
555,3,75
600,3,75
675,3,75
784,3,75
833,3,93
1001,3,93
1169,3,93
1328,3,93
1382,3,93
1557,3,93
1815,4,115
1990,4,115
2185,5,115
2428,8,115
2758,8,115
3080,9,115
3334,11,118
3835,13,118
4277,16,118
4341,17,118
4647,18,118
5029,20,118
5220,24,118
5551,27,118
