confirmed,death,recover
555,17,28
654,18,30
941,26,36
1434,42,39
2118,56,52
2927,82,61
5578,131,107
6166,133,125
8234,171,141
9927,213,218
12038,259,279
16787,362,456
19887,426,599
23898,492,816
27643,564,1066
30802,634,1411
34334,719,1891
37068,806,2453
40095,906,3039
42633,1013,3695
44675,1113,4397
46561,1118,4823
60206,1371,5903
66690,1523,7577
68765,1666,8860
70879,1770,10277
72815,1868,11904
74609,2008,13636
75030,2123,15334
75577,2246,17290
76206,2250,17870
77967,2457,21742
78288,2467,22189
78852,2627,23923
79705,2707,26523
80668,2767,28933
82032,2810,31769
83409,2867,35150
85304,2936,38157
87681,2990,41045
89655,3079,43917
92232,3154,46512
94531,3249,49450
97322,3342,52068
101265,3454,54100
105303,3553,56590
109254,3797,58922
113154,3981,60721
118178,4260,62632
125841,4604,64943
131591,4909,66263
145996,5406,68188
157087,5823,70556
168233,6464,73966
182892,7144,76016
198730,7948,78768
218316,8845,81251
246234,9951,82888
275842,11429,85332
308120,13134,89593
341530,14831,95808
383695,16748,96273
424834,19016,105808
475651,21793,111254
538611,24800,119608
603011,28318,128304
670617,31997,136587
730194,35470,146045
794833,39634,161468
871249,44478,173808
947463,50029,189145
1028862,56334,205753
1112016,62319,220748
1192392,68160,240750
1264110,73181,254136
1336782,79013,270499
1413655,86915,293271
1497430,93650,321545
1584055,101279,345804
1671713,108551,366845
1748433,114620,392291
1845214,120351,411106
1914808,126098,437582
1984735,132996,462044
2065564,141308,497742
2162276,148591,527679
2250000,157481,552742
2323528,163952,576178
2404051,168522,606745
2477390,173965,627789
2552640,181122,661752
2629446,187877,690609
2718459,194727,718655
2805399,201401,768075
2889520,206979,794870
2962467,210862,822419
3031171,215511,848532
3106470,221974,880594
3183516,228742,921484
3267197,234704,985141
3354243,239881,1021968
3434830,245206,1061720
3512466,248659,1092809
3588543,252787,1125538
3668532,258658,1160968
3758554,265327,1205459
3847640,270736,1243708
3939157,276304,1279202
4022792,280569,1331451
4099038,284135,1363932
4175279,287608,1409732
4258878,293155,1445541
4343630,298383,1500077
4440735,303651,1538678
4537084,308866,1585691
4628897,313037,1641316
4707406,316366,1681429
4795690,319657,1733460
4892114,324441,1784722
4995142,329326,1842772
5101476,334112,1892790
5208376,339396,2000448
5307359,343385,2054690
5402685,346525,2109366
5489648,347703,2172311
5582170,351906,2226605
5684770,357119,2288998
5804084,361820,2355041
5925251,366562,2430052
6054116,370718,2499618
6161668,373606,2575214
6256863,376674,2629079
6377674,381497,2732472
6497062,387069,2810754
6623999,392218,2880011
6754862,396994,2947326
6882060,400875,3018487
6994319,403617,3072837
7096544,407314,3223634
7220886,412236,3305009
7354911,417441,3382942
7493025,422215,3467821
7622119,426512,3546584
7756456,430750,3631694
7889877,434124,3701645
8009514,437549,3780240
8150918,444416,3877564
8327053,449671,3994897
8466980,454700,4075454
8647788,460973,4167908
8805343,465222,4283062
8933883,469185,4351254
9071742,472756,4442397
9237084,478067,4545926
9408261,483328,4658875
9586153,489955,4751277
9777499,494782,4857571
9955613,499268,4963594
10117244,502357,5052335
10275817,506078,5146197
10449715,511210,5263103
10667408,516221,5378654
10875111,521341,5663022
11078610,526336,5772465
11272182,530705,5967896
11454880,534150,6087057
11622224,537947,6210278
11833074,544054,6353566
12044883,549373,6510971
12273112,554831,6645077
12505693,560142,6784019
12722023,565039,6909052
12914699,568993,7020505
13107482,572808,7160349
13328937,578468,7302047
13560060,583961,7460559
13812590,589760,7610533
14054555,596502,7769939
14292178,602128,7920702
14506747,606157,8008318
14707216,609878,8164557
14946684,616427,8340754
