confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
2,0,0
2,0,0
2,0,0
3,0,0
3,0,0
3,0,0
12,0,0
16,0,0
22,0,0
28,0,0
29,0,0
35,0,0
35,0,0
36,0,0
39,1,0
39,1,2
39,1,2
39,1,3
39,1,5
39,1,7
39,1,7
39,1,24
40,2,25
40,2,28
43,2,30
45,2,30
45,2,30
48,2,30
48,2,30
52,2,30
57,2,33
61,3,33
65,3,35
70,3,35
74,3,35
76,3,37
84,3,37
84,3,37
88,3,42
88,3,42
95,3,42
97,3,54
106,3,55
109,3,74
119,3,75
124,3,78
137,3,78
138,3,92
146,4,101
153,4,103
167,4,111
252,7,112
267,7,117
267,7,117
441,7,117
446,7,124
654,7,124
654,7,124
679,7,183
753,7,188
761,7,192
772,7,192
832,7,197
866,7,302
920,7,336
920,7,336
920,7,336
920,7,336
920,7,336
1057,7,779
1057,7,779
1057,7,779
1057,7,779
1057,7,779
1089,7,912
1089,7,912
1089,7,912
1089,7,912
1089,7,912
1089,7,912
1089,7,912
1200,10,912
1200,10,912
1200,10,912
1200,10,912
1321,10,1104
1357,10,1104
1358,11,1122
1382,11,1142
1405,11,1142
1412,11,1142
1416,11,1144
1430,11,1194
1430,11,1194
1430,11,1194
1430,11,1194
1477,18,1213
1489,18,1223
1497,18,1223
1531,21,1233
1531,21,1233
1557,22,1311
1568,22,1311
1594,24,1329
1632,30,1348
1632,30,1348
1632,30,1348
1632,30,1348
1632,30,1348
1632,30,1348
1895,42,1348
1895,42,1348
1895,42,1348
1895,42,1348
