day,s,i,r,s_gt,i_gt,r_gt
131,329176662,1263849,562139,329186175,1252109,564367
132,329149478,1278872,574299,329165280,1266334,571037
133,329121973,1294071,586604,329145322,1269912,587417
134,329094143,1309449,599055,329123971,1284510,594170
135,329065985,1325007,611654,329098747,1302060,601844
136,329037495,1340747,624402,329076015,1314969,611667
137,329008669,1356672,637302,329058284,1326731,617636
138,328979503,1372784,650355,329040870,1331485,630296
139,328949993,1389084,663563,329022743,1342339,637569
140,328920135,1405575,676928,329001949,1353567,647135
141,328889926,1422259,690452,328978999,1368848,654804
142,328859361,1439138,704136,328953665,1386266,662720
143,328828436,1456215,717983,328928109,1401852,672690
144,328797147,1473492,731994,328908285,1416168,678198
145,328765490,1490971,746171,328888625,1420919,693107
146,328733460,1508654,760516,328864920,1436616,701115
147,328701054,1526543,775031,328839361,1452736,710554
148,328668267,1544641,789719,328811552,1472917,718182
149,328635094,1562951,804581,328780072,1496125,726454
150,328601531,1581474,819619,328747324,1517518,737809
151,328567574,1600213,834835,328720885,1539029,742737
152,328533218,1619171,850231,328690349,1551094,761208
153,328498459,1638350,865810,328655160,1578096,769395
154,328463292,1657752,881573,328620225,1603661,778765
155,328427712,1677380,897523,328580352,1633711,788588
156,328391715,1697237,913662,328535097,1671114,796440
157,328355296,1717325,929992,328492392,1704831,805428
158,328318450,1737646,946515,328453357,1737770,811524
159,328281172,1758204,963234,328411983,1758754,831914
160,328243457,1779001,980151,328366237,1788351,848063
