day,s,i,r,s_gt,i_gt,r_gt
131,329177540,1262562,562547,329186175,1252109,564367
132,329151271,1276270,575107,329165280,1266334,571037
133,329124719,1290124,587803,329145322,1269912,587417
134,329097881,1304127,600637,329123971,1284510,594170
135,329070754,1318279,613610,329098747,1302060,601844
136,329043335,1332583,626724,329076015,1314969,611667
137,329015620,1347040,639981,329058284,1326731,617636
138,328987607,1361651,653381,329040870,1331485,630296
139,328959293,1376418,666927,329022743,1342339,637569
140,328930674,1391343,680620,329001949,1353567,647135
141,328901747,1406427,694461,328978999,1368848,654804
142,328872509,1421672,708452,328953665,1386266,662720
143,328842957,1437080,722595,328928109,1401852,672690
144,328813087,1452652,736891,328908285,1416168,678198
145,328782896,1468390,751342,328888625,1420919,693107
146,328752381,1484296,765950,328864920,1436616,701115
147,328721538,1500371,780716,328839361,1452736,710554
148,328690364,1516617,795642,328811552,1472917,718182
149,328658856,1533036,810729,328780072,1496125,726454
150,328627010,1549630,825980,328747324,1517518,737809
151,328594822,1566401,841396,328720885,1539029,742737
152,328562289,1583350,856979,328690349,1551094,761208
153,328529407,1600479,872730,328655160,1578096,769395
154,328496173,1617790,888652,328620225,1603661,778765
155,328462583,1635285,904746,328580352,1633711,788588
156,328428633,1652966,921014,328535097,1671114,796440
157,328394319,1670834,937458,328492392,1704831,805428
158,328359638,1688892,954080,328453357,1737770,811524
159,328324586,1707141,970881,328411983,1758754,831914
160,328289159,1725584,987864,328366237,1788351,848063
