day,s,i,r,s_gt,i_gt,r_gt
131,7788523129,3259117,3016491,7788541876,3251110,3005753
132,7788407548,3306051,3085137,7788421065,3263705,3113969
133,7788290304,3353659,3154771,7788301677,3299239,3197823
134,7788171374,3401951,3225408,7788174740,3351770,3272229
135,7788050733,3450936,3297062,7788043877,3410542,3344320
136,7787928357,3500625,3369748,7787916679,3462698,3419362
137,7787804221,3551027,3443481,7787804420,3517865,3476454
138,7787678299,3602153,3518275,7787702195,3465596,3630948
139,7787550566,3654013,3594146,7787577853,3503641,3717245
140,7787420997,3706618,3671109,7787443828,3554528,3800383
141,7787289564,3759978,3749180,7787305714,3602989,3890036
142,7787156242,3814104,3828375,7787176620,3649023,3973096
143,7787021003,3869006,3908710,7787042283,3694012,4062444
144,7786883819,3924696,3990202,7786908862,3754108,4135769
145,7786744663,3981185,4072867,7786789225,3791725,4217789
146,7786603507,4038485,4156722,7786647821,3828938,4321980
147,7786460322,4096607,4241784,7786471686,3882485,4444568
148,7786315079,4155563,4328070,7786331759,3936826,4530154
149,7786167748,4215365,4415598,7786150951,4018907,4628881
150,7786018300,4276024,4504385,7785993396,4057059,4748284
151,7785866704,4337553,4594450,7785864856,4113444,4820439
152,7785712930,4399965,4685811,7785726997,4156589,4915153
153,7785556946,4463272,4778486,7785561655,4213091,5023993
154,7785398721,4527487,4872495,7785390478,4266058,5142203
155,7785238223,4592622,4967856,7785212586,4344921,5241232
156,7785075419,4658691,5064589,7785021240,4425146,5352353
157,7784910277,4725707,5162714,7784843126,4492751,5462862
158,7784742763,4793683,5262250,7784681495,4562552,5554692
159,7784572843,4862633,5363218,7784522922,4623542,5652275
160,7784400483,4932571,5465638,7784349024,4675402,5774313
