day,s,i,r,s_gt,i_gt,r_gt
131,7788523356,3257451,3017931,7788541876,3251110,3005753
132,7788408064,3302672,3088001,7788421065,3263705,3113969
133,7788291173,3348519,3159044,7788301677,3299239,3197823
134,7788172661,3395001,3231073,7788174740,3351770,3272229
135,7788052506,3442126,3304102,7788043877,3410542,3344320
136,7787930685,3489903,3378145,7787916679,3462698,3419362
137,7787807175,3538341,3453215,7787804420,3517865,3476454
138,7787681952,3587450,3529327,7787702195,3465596,3630948
139,7787554993,3637238,3606496,7787577853,3503641,3717245
140,7787426275,3687715,3684736,7787443828,3554528,3800383
141,7787295772,3738891,3764061,7787305714,3602989,3890036
142,7787163461,3790775,3844487,7787176620,3649023,3973096
143,7787029316,3843376,3926029,7787042283,3694012,4062444
144,7786893312,3896705,4008703,7786908862,3754108,4135769
145,7786755423,3950771,4092524,7786789225,3791725,4217789
146,7786615623,4005585,4177508,7786647821,3828938,4321980
147,7786473886,4061157,4263671,7786471686,3882485,4444568
148,7786330186,4117497,4351030,7786331759,3936826,4530154
149,7786184495,4174616,4439600,7786150951,4018907,4628881
150,7786036785,4232525,4529399,7785993396,4057059,4748284
151,7785887029,4291234,4620444,7785864856,4113444,4820439
152,7785735199,4350755,4712752,7785726997,4156589,4915153
153,7785581266,4411098,4806340,7785561655,4213091,5023993
154,7785425201,4472275,4901226,7785390478,4266058,5142203
155,7785266975,4534298,4997428,7785212586,4344921,5241232
156,7785106558,4597177,5094964,7785021240,4425146,5352353
157,7784943920,4660925,5193853,7784843126,4492751,5462862
158,7784779030,4725554,5294113,7784681495,4562552,5554692
159,7784611857,4791075,5395763,7784522922,4623542,5652275
160,7784442370,4857501,5498823,7784349024,4675402,5774313
