confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
3,0,0
5,0,0
12,0,0
12,0,0
17,0,0
17,0,0
19,0,0
20,0,0
20,0,0
20,0,0
24,1,8
26,2,8
37,3,12
48,4,12
54,4,12
60,4,12
74,7,12
87,9,32
90,11,32
139,15,32
201,17,65
230,17,65
264,19,24
302,21,65
367,25,29
409,26,29
454,29,31
511,31,31
584,35,37
716,44,46
847,58,61
986,86,61
1171,105,62
1251,130,90
1320,152,90
1423,173,90
1468,193,113
1572,205,237
1666,235,347
1761,256,405
1825,275,460
1914,293,591
1983,313,601
2070,326,691
2160,336,708
2268,348,783
2418,364,846
2534,367,894
2629,375,1047
2718,384,1099
2811,392,1152
2910,402,1204
3007,407,1355
3127,415,1408
3256,419,1479
3382,425,1508
3517,432,1558
3649,437,1651
3848,444,1702
4006,450,1779
4154,453,1821
4295,459,1872
4474,463,1936
4648,465,1998
4838,470,2067
4997,476,2197
5182,483,2323
5369,488,2467
5558,494,2546
5723,502,2678
5891,507,2841
6067,515,2998
6253,522,3058
6442,529,3158
6629,536,3271
6821,542,3409
7019,548,3507
7201,555,3625
7377,561,3746
7542,568,3968
7728,575,4062
7918,582,4256
8113,592,4426
8306,600,4784
8503,609,4747
8697,617,4918
8857,623,5129
8997,630,5277
9134,638,5422
9267,646,5549
9394,653,5748
9513,661,5894
9626,667,6067
9733,673,6218
9831,681,6297
9935,690,6453
10050,698,6631
10154,707,6717
10265,715,6799
10382,724,6951
10484,732,7074
10589,741,7255
10698,751,7322
10810,760,7420
10919,767,7606
11031,777,7735
11147,788,7842
11268,799,7943
11385,811,8078
11504,825,8196
11631,837,8324
11771,845,8422
11920,852,8559
12076,861,8674
12248,869,8792
12445,878,8920
12685,885,9066
12968,892,9202
13273,897,9371
13571,905,9674
13907,912,9897
14272,920,10040
14657,928,10342
15070,937,10832
15500,946,11181
15941,952,11492
16404,959,11884
16879,968,12094
17348,978,12329
17808,988,12637
18242,996,13124
