confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
3,0,0
3,0,0
3,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
9,0,0
15,0,0
15,0,0
15,0,0
15,0,0
19,1,0
19,2,0
19,2,0
19,2,0
21,2,0
21,2,0
23,2,0
23,2,3
23,2,3
23,3,3
23,3,3
23,3,3
23,3,3
23,3,3
23,3,7
24,3,10
24,3,10
24,3,11
24,3,11
24,3,11
24,3,11
24,3,11
24,3,11
24,3,11
25,3,15
25,3,15
25,3,15
25,3,15
25,3,16
25,3,16
25,3,16
25,3,16
25,3,19
25,3,19
25,3,19
25,3,19
25,3,19
25,3,19
25,3,19
25,3,19
25,3,19
25,3,19
25,3,19
25,3,19
25,3,19
25,3,19
25,3,19
25,3,19
25,3,19
25,3,19
25,3,19
25,3,19
25,3,19
25,3,19
26,3,19
26,3,19
26,3,20
26,3,20
26,3,20
26,3,20
26,3,20
26,3,20
26,3,20
26,3,20
26,3,20
26,3,20
26,3,20
26,3,20
26,3,20
26,3,20
26,3,22
26,3,22
26,3,22
26,3,22
26,3,22
26,3,22
26,3,22
26,3,22
26,3,22
65,3,22
65,3,22
65,3,22
69,3,22
69,3,22
69,3,22
69,3,22
69,3,23
68,3,23
68,3,23
68,3,23
70,3,23
70,3,23
70,3,23
73,3,57
74,3,57
