confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
2,0,0
3,0,0
3,0,0
9,0,0
14,0,0
18,0,0
21,0,0
29,0,0
41,0,0
55,0,0
79,0,0
104,0,0
131,0,2
182,0,4
246,0,4
302,1,4
504,1,6
655,1,6
860,1,6
1018,3,6
1332,3,1
1646,4,9
2013,6,9
2388,6,9
2814,8,9
3582,16,9
4474,21,9
5283,28,9
5588,30,9
6909,49,112
7657,58,225
8271,68,225
8788,86,479
9618,108,636
10180,128,1095
10711,146,1436
11129,158,1749
11524,168,2022
11781,186,2507
12051,204,2998
12297,220,3463
12639,243,4046
12942,273,4512
13244,295,5240
13555,319,6064
13806,337,6604
13945,350,6987
14041,368,7343
14226,384,7633
14336,393,8098
14476,410,8986
14595,431,9704
14671,443,10214
14749,452,10501
14795,470,10631
14873,491,10971
14925,510,11328
15002,522,11694
15071,530,11872
15148,536,12103
15225,542,12282
15274,549,12362
15357,569,12580
15402,580,12779
15452,584,12907
15531,589,13110
15558,596,13180
15597,598,13228
15621,600,13316
15650,606,13462
15684,608,13639
15752,609,13698
15774,614,13836
15833,615,13928
15871,618,13991
15882,620,14061
15961,623,14148
15997,624,14304
16058,626,14405
16109,628,14471
16201,629,14524
16242,629,14563
16269,629,14614
16321,632,14678
16353,633,14882
16404,633,14951
16436,635,15005
16486,639,15037
16503,640,15063
16539,641,15138
16557,643,15182
16591,645,15228
16628,668,15286
16655,668,15347
16685,668,15520
16731,668,15593
16733,668,15596
16759,669,15629
16771,670,15672
16805,670,15717
16843,672,15742
16898,672,15789
16902,672,15793
16968,672,15839
16979,672,15875
17005,673,15910
17034,674,15949
17064,675,15985
17078,677,16012
17109,677,16059
17135,678,16066
17189,681,16089
17203,687,16099
17223,688,16101
17271,688,16141
17323,688,16175
17341,690,16197
17380,690,16241
17408,693,16261
17449,693,16282
17477,698,16320
17522,698,16348
17580,700,16371
17654,702,16401
17723,703,16420
17766,705,16478
17873,705,16491
17941,705,16514
18050,705,16558
18165,705,16607
18280,706,16615
18365,706,16647
18421,706,16686
18513,706,16721
18615,706,16758
18709,706,16808
