confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
3,0,0
3,0,0
4,0,0
4,0,0
4,0,0
5,0,1
5,0,1
9,0,1
10,0,1
10,0,1
11,0,1
14,0,1
14,0,1
21,1,1
24,1,1
24,1,1
28,4,0
28,4,0
29,5,4
33,6,5
40,7,5
41,8,5
42,8,5
46,8,5
46,8,5
47,8,6
49,8,6
49,8,6
53,8,6
54,9,6
55,9,10
55,9,10
60,9,11
65,9,12
65,9,12
72,11,14
73,11,15
78,11,15
80,11,22
80,11,22
80,11,23
80,11,23
81,11,25
81,11,24
83,11,24
83,11,24
83,11,25
89,11,26
92,11,26
92,11,26
92,11,31
92,11,37
92,11,37
93,11,39
93,11,39
94,11,41
96,11,41
96,11,41
96,11,42
96,11,42
96,11,43
96,11,43
97,11,43
97,11,44
97,11,44
100,11,45
100,11,45
100,11,46
100,11,46
100,11,46
101,11,47
102,11,48
102,11,48
102,11,48
102,11,49
102,11,49
102,11,55
102,11,55
102,11,55
103,11,62
103,11,62
103,11,64
103,11,64
103,11,67
103,11,68
103,11,68
103,11,68
103,11,68
103,11,68
104,11,72
104,11,72
104,11,74
104,11,74
104,11,74
104,11,77
104,11,77
104,11,83
104,11,83
104,11,84
104,11,84
104,11,87
104,11,87
104,11,87
104,11,87
104,11,89
104,11,89
104,11,89
104,11,89
104,11,89
104,11,89
104,11,89
106,11,89
107,11,89
108,11,89
