confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
23,0,0
33,0,0
33,0,0
36,0,0
41,0,0
47,0,0
49,0,0
49,0,0
52,0,0
55,0,0
60,0,4
85,0,4
85,0,4
95,0,14
110,0,22
195,0,35
195,0,35
195,0,44
210,0,44
214,0,60
214,1,77
228,1,81
256,1,88
278,1,100
285,1,100
305,1,125
334,2,149
377,2,149
392,3,177
419,4,177
458,4,204
466,4,227
476,4,265
499,4,272
515,4,279
567,4,295
569,4,337
643,4,381
672,4,382
688,4,423
700,4,431
756,4,458
811,5,458
823,5,477
887,5,519
925,6,539
1040,6,555
1136,6,558
1361,6,591
1528,7,645
1671,7,663
1700,7,703
1740,7,725
1773,7,755
1881,7,759
1907,7,769
1973,7,784
2027,7,1026
2217,8,1082
2518,8,1113
2588,8,1160
2647,8,1189
2723,8,1218
2811,8,1310
2921,8,1455
3040,8,1500
3170,8,1555
3284,8,1568
3383,8,1718
3533,8,1744
3720,8,1762
3934,8,1860
4199,8,2000
4444,8,2028
4774,8,2055
4941,8,2070
5236,8,2152
5531,9,2192
5816,10,2205
6198,10,2353
6583,12,2640
6747,12,2762
6956,12,2910
7184,12,2931
7532,12,2952
7888,12,3568
8174,12,3873
8414,12,4096
8802,13,4465
9138,14,4587
9171,14,4753
9366,14,4938
9692,15,5152
10052,15,5419
10449,15,5700
10793,17,5826
11398,19,6673
11871,19,7070
12311,19,7407
12815,20,7410
13296,21,7728
13835,22,8585
14383,24,9056
14763,26,9468
15417,27,10326
15731,29,10606
16200,31,11109
16667,34,11487
17269,36,11903
17713,37,12191
18227,42,12818
19013,46,13267
19553,47,13866
19961,49,14185
20430,55,14696
20916,57,15287
21331,60,15790
21764,63,16419
22407,65,16862
23062,67,17450
23570,69,17977
24081,71,18501
24805,73,19137
25267,78,19781
25705,83,20517
26239,84,20928
26758,87,21331
27414,92,21948
27837,94,22583
28410,95,23318
28857,96,23959
29367,97,24649
29821,98,25178
30321,98,25570
30931,98,26073
31528,103,26520
32039,104,27213
