confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
5,0,0
8,0,2
10,0,3
14,1,3
17,1,3
20,1,3
25,2,3
27,2,3
33,3,3
39,4,5
39,5,7
44,5,11
48,5,11
48,5,15
48,5,15
49,5,19
51,5,25
54,6,25
56,6,25
61,6,26
70,8,30
88,9,33
123,12,33
164,17,33
218,20,33
330,21,33
424,27,33
482,30,36
621,34,39
803,39,42
1012,46,42
1231,50,49
1572,60,49
1838,75,58
2144,84,66
2456,91,75
2948,101,85
3382,110,87
3772,120,92
4186,127,108
4689,131,112
4998,140,113
5416,145,122
5913,152,131
6462,155,139
7103,163,150
7667,168,160
8238,170,174
8790,175,177
9455,177,1063
10143,182,1209
10929,183,1403
11719,186,1403
12425,199,1910
13134,206,2101
13770,214,2414
14657,228,2650
15691,239,2902
16660,250,3147
17822,269,3361
18863,283,3361
20065,298,3882
20995,314,4117
22268,328,4373
23870,349,4585
25121,370,4993
26738,386,5207
28511,408,5602
30205,432,6190
32078,452,6486
33610,480,6901
35585,501,7334
36751,522,7579
38292,544,7925
40321,559,8425
42844,582,9015
44608,610,9375
47153,650,9781
49534,672,10597
52445,709,11120
55140,746,11590
57563,781,12161
60391,811,12804
63026,846,13325
65769,888,13903
68504,930,14560
71675,975,15337
74865,1012,15900
78052,1049,16747
81523,1095,17249
84379,1139,17828
87520,1171,18730
90619,1209,18731
94481,1262,36264
98489,1305,38189
102292,1343,40164
105535,1388,42945
108775,1425,43993
112306,1464,45077
115786,1502,46755
119198,1545,47635
122660,1582,49666
126606,1621,51495
130474,1661,53133
133978,1695,54318
137787,1738,55727
141801,1783,57780
145483,1847,59624
149258,1888,62108
153277,1926,66442
156391,1968,68048
159679,1997,70721
162417,2052,72625
165618,2096,76149
168645,2151,78102
172134,2197,80838
175494,2238,84544
178443,2275,86406
