confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
2,0,0
5,0,0
5,0,0
6,0,0
14,0,0
17,0,0
18,0,0
18,0,0
18,0,0
24,0,0
26,0,0
33,0,0
33,0,0
34,0,0
34,0,0
46,0,0
51,0,0
52,0,0
56,1,6
60,2,6
63,3,6
63,3,8
66,3,11
67,4,11
68,4,11
71,4,11
72,4,13
72,4,13
73,5,15
75,5,15
75,5,15
75,5,17
75,5,17
75,5,19
75,5,25
75,5,25
76,6,30
77,6,31
79,6,31
79,6,39
80,6,39
80,6,39
80,7,39
81,7,39
81,7,39
81,7,44
82,7,44
82,7,46
82,7,47
82,7,47
82,7,53
83,7,53
84,7,57
84,7,57
84,7,57
85,7,57
85,7,65
85,7,65
85,7,65
86,7,67
88,7,68
88,7,68
90,7,68
90,7,70
90,7,70
90,7,70
92,7,70
92,7,70
92,7,71
92,7,71
92,7,76
92,7,76
92,7,76
92,7,76
92,7,76
92,7,76
92,7,76
92,7,81
92,7,81
92,7,81
92,7,81
92,7,81
92,7,81
92,7,81
96,7,83
96,7,83
96,7,83
96,7,83
96,7,83
97,7,83
97,7,83
97,7,85
97,7,85
97,7,85
97,7,85
97,7,85
97,7,85
97,7,85
97,7,85
97,7,85
97,7,90
97,7,90
97,7,90
97,7,90
97,7,90
97,7,90
97,7,90
97,7,90
97,7,90
98,7,90
98,7,90
98,7,90
98,7,90
98,7,90
98,7,90
