confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
2,0,1
8,0,1
13,0,1
23,0,1
50,0,1
109,0,1
169,0,1
200,0,1
239,0,1
267,0,1
314,3,1
314,3,1
559,3,1
689,4,1
886,4,1
1058,5,1
1243,10,1
1486,14,31
1795,21,31
2257,37,1
2815,67,263
3401,75,263
3743,88,263
4269,122,461
4937,178,547
6235,220,675
7284,289,858
9134,353,1063
10836,431,1359
11899,513,1527
12775,705,1696
13964,828,2132
15348,1011,2495
16770,1143,2872
18431,1283,3247
19691,1447,3751
20814,1632,3986
22194,2035,4157
23403,2240,4681
24983,2523,5164
26667,3019,5568
28018,3346,5986
29647,3600,6463
30589,3903,6707
31119,4157,6868
33573,4440,7107
34809,4857,7562
36138,5163,7961
37183,5453,8348
38496,5683,8757
39983,5828,8895
40956,5998,9002
41889,6262,9433
42797,6490,9800
44293,6679,10122
45325,6917,10417
46134,7094,10785
46687,7207,10878
47334,7331,10943
47859,7501,11283
48519,7594,11576
49032,7703,11892
49517,7765,12211
49906,7844,12309
50267,7924,12378
50509,8016,12441
50781,8339,12731
51420,8415,12980
52011,8521,13201
52596,8581,13411
53081,8656,13642
53449,8707,13697
53779,8761,13732
53981,8843,13937
54288,8903,14111
54644,8959,14301
54989,9005,14460
55280,9052,14630
55559,9080,14657
55791,9108,14687
55983,9150,14847
56235,9186,14988
56511,9212,15123
56810,9237,15155
57092,9280,15272
57342,9312,15297
57455,9334,15320
57592,9364,15465
57849,9388,15572
58061,9430,15682
58186,9453,15769
58381,9467,15887
58517,9486,15919
58615,9505,15934
58685,9522,15959
58767,9548,16048
58907,9566,16112
59072,9580,16190
59226,9595,16291
59348,9606,16315
59437,9619,16324
59569,9629,16392
59711,9636,16453
59819,9646,16498
59918,9650,16547
60029,9655,16589
60100,9661,16610
60155,9663,16625
60244,9675,16684
60348,9683,16724
60476,9695,16751
60550,9696,16771
60550,9696,16771
60550,9696,16771
60810,9713,16771
60898,9722,16771
61007,9726,16890
61106,9731,16918
61209,9732,16941
61295,9732,16941
61361,9732,16941
61427,9747,16984
61509,9754,17021
61598,9761,17044
61727,9765,17073
61838,9771,17091
62016,9771,17091
62058,9774,17091
62058,9774,17122
62123,9776,17138
62210,9778,17159
62357,9781,17179
