confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
3,0,0
3,0,0
3,0,0
3,0,0
4,0,0
4,0,0
5,0,0
7,1,0
7,1,0
8,1,0
9,1,0
10,2,0
13,2,0
14,2,0
18,2,0
18,2,0
18,2,0
18,2,0
18,2,0
18,2,0
18,2,0
18,2,0
18,2,0
18,2,4
18,2,4
18,2,4
18,2,4
18,2,4
18,2,5
18,2,5
18,2,5
18,2,5
18,2,5
18,2,5
18,2,5
18,2,6
18,2,6
18,2,6
18,2,6
18,2,8
18,2,8
18,2,8
18,2,8
18,2,8
18,2,10
18,2,10
18,2,10
18,2,10
18,2,10
18,2,10
18,2,10
18,2,10
18,2,10
18,2,10
18,2,10
18,2,10
18,2,10
18,2,10
18,2,10
18,2,10
18,2,10
18,2,11
18,2,11
18,2,11
18,2,11
18,2,11
18,2,11
19,2,11
19,2,11
19,2,11
19,2,11
20,2,11
20,2,11
20,2,11
20,2,11
20,2,11
20,2,11
21,2,11
22,2,11
22,2,11
22,2,11
22,2,11
22,2,11
22,2,11
23,2,11
23,2,11
23,2,11
23,2,11
24,2,11
24,2,11
24,2,11
24,2,11
24,2,11
28,2,11
28,2,11
30,2,11
30,2,11
30,2,11
30,2,11
30,2,11
30,2,11
30,2,11
37,2,11
