confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
5,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
9,0,0
13,0,0
13,0,0
16,0,0
16,0,0
22,0,0
26,1,0
26,1,0
26,1,0
26,1,0
35,1,0
35,1,0
35,1,0
35,1,0
35,1,0
35,1,0
35,1,0
35,1,0
35,1,0
35,1,2
54,1,2
54,1,2
54,1,2
54,1,5
54,1,5
54,1,5
64,1,5
64,1,6
64,1,9
64,1,9
64,1,9
90,2,13
90,2,13
90,2,13
96,2,14
96,2,16
96,2,16
140,2,16
242,2,16
284,2,16
319,2,16
319,2,16
327,2,16
327,2,16
339,2,16
339,2,16
339,2,16
339,2,16
339,2,16
130,2,16
130,2,16
135,3,16
135,3,16
135,3,16
191,3,16
191,3,16
208,3,16
210,3,16
210,3,16
224,3,16
224,3,16
232,3,16
243,3,16
244,3,16
244,3,16
261,3,16
261,3,16
261,3,16
261,3,16
288,4,16
305,4,16
305,4,16
305,4,16
388,5,16
412,6,16
442,6,16
483,9,16
532,9,16
572,9,16
597,11,16
650,11,17
650,11,17
765,13,17
807,13,17
850,13,17
902,13,17
1017,14,17
1053,14,18
1124,14,18
1149,16,18
1187,19,18
1199,21,18
1199,21,18
1199,21,18
1199,21,19
1199,21,19
1199,21,19
1199,21,19
1199,21,19
1199,21,19
1285,23,19
1285,23,20
