confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
2,0,0
3,0,0
10,0,0
10,0,0
11,0,0
11,0,0
12,0,0
12,0,0
15,0,0
19,0,0
24,0,0
27,0,0
29,0,0
32,0,0
43,0,0
61,0,0
74,0,0
81,1,0
97,4,0
107,6,0
115,7,0
123,8,1
132,9,2
139,10,2
157,10,2
183,11,2
194,14,2
210,15,2
264,18,2
268,19,2
275,20,2
300,24,2
330,27,2
354,28,2
397,28,2
441,29,2
465,31,2
493,31,2
520,32,2
564,33,2
598,34,2
609,37,2
703,43,3
807,44,3
866,46,3
950,50,4
1014,53,4
1053,55,5
1110,59,5
1167,62,5
1229,66,5
1470,71,5
1594,76,5
1681,82,5
1802,86,5
1886,91,5
2081,102,5
2266,106,5
2437,114,5
2556,118,5
2831,122,5
2964,128,5
3148,142,5
3372,152,5
3577,164,5
3826,165,5
4088,169,5
4263,174,5
4481,189,5
4919,199,5
5187,215,6
5579,230,6
5915,240,6
6263,250,6
6660,261,6
7136,274,6
7768,280,6
8387,293,6
8731,300,6
9592,310,6
9982,313,6
10531,343,6
10991,376,9
11638,400,9
12245,415,9
12728,427,11
13358,454,11
13643,465,11
13949,475,14
14644,487,17
15281,512,18
16165,533,19
16929,559,19
17842,585,21
18459,611,21
19073,632,22
19883,659,24
20685,679,24
21499,697,25
22476,715,28
23512,740,30
24388,773,30
25493,820,32
26389,846,34
27487,876,34
28503,913,34
29423,934,38
30676,970,38
31524,1014,38
32125,1071,44
33219,1123,48
34227,1201,50
35528,1271,50
36818,1320,50
38071,1378,51
39297,1434,53
40509,1476,53
41545,1530,55
42984,1577,55
44113,1638,55
45565,1702,55
