confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
2,0,0
3,0,0
3,0,0
3,0,0
5,0,0
7,0,0
11,0,0
13,0,0
18,0,0
24,0,0
25,0,0
26,0,0
38,0,0
63,0,0
89,0,0
93,1,0
126,1,0
136,1,0
166,3,0
176,3,0
191,3,0
237,4,0
258,5,0
323,6,0
368,10,0
420,13,0
459,13,1
533,16,1
579,17,1
624,21,1
654,23,2
674,29,2
764,33,2
804,34,2
858,35,2
901,36,2
946,37,2
1009,39,2
1037,39,2
1083,40,6
1110,41,7
1167,43,14
1214,46,26
1268,47,31
1285,48,31
1309,49,31
1342,51,37
1368,53,44
1413,54,44
1421,55,54
1486,57,54
1516,59,80
1565,60,98
1585,63,110
1677,65,117
1757,69,132
1781,70,134
1839,72,159
1857,77,166
1926,78,174
1946,79,187
1987,86,198
2027,90,219
2070,98,237
2090,102,258
2117,107,273
2141,113,299
2158,117,313
2181,120,339
2218,122,356
2236,128,434
2267,129,473
2290,133,493
2304,133,503
2321,134,533
2338,136,553
2350,140,561
2372,141,575
2391,141,609
2401,144,629
2406,146,647
2416,149,677
2435,151,689
2462,153,738
2485,153,749
2494,153,889
2510,153,968
2524,154,1137
2535,157,1298
2551,157,1507
2594,159,1658
2606,159,1739
2606,159,1902
2606,159,2086
2704,160,2159
2728,160,2190
2775,161,2261
2832,161,2372
2893,163,2431
2893,163,2768
2893,163,3113
3040,165,3430
3085,168,3752
3141,168,4002
3174,168,4002
3273,169,4670
3273,169,5086
3273,169,5454
3525,171,5857
3588,172,6300
3676,173,6795
3796,175,7338
3935,178,7736
3935,178,8158
3935,178,8517
4325,184,8928
4453,186,9340
4606,188,9764
4788,189,10358
4962,191,10766
4962,191,11272
4962,191,11667
5458,199,11929
5621,207,12398
5869,209,12883
6086,214,13354
6402,216,13918
