confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
11,0,0
11,0,0
37,0,0
40,0,0
50,0,0
54,0,1
56,0,2
68,0,2
75,0,2
78,0,2
83,0,2
88,0,2
91,0,2
104,0,2
109,0,2
114,0,6
115,0,6
120,1,6
126,1,6
127,1,120
129,1,127
131,1,127
133,1,127
134,1,127
135,1,127
135,1,127
135,1,127
135,1,127
135,1,127
135,1,173
136,1,173
136,1,173
136,1,173
136,1,173
136,1,3046
136,1,14026
136,1,14026
136,1,14026
137,1,14026
138,1,22130
138,1,22130
138,1,22991
138,1,25318
138,1,26573
138,1,27655
138,1,29160
138,1,30152
138,1,31142
138,1,32544
138,1,34132
138,1,35935
138,1,38039
138,1,40937
138,1,42991
138,1,45815
138,1,48221
139,1,51370
141,1,55350
141,1,59297
141,1,61685
141,1,64957
141,1,67384
141,1,72597
141,1,78424
141,1,79479
141,1,84970
141,1,89672
141,1,94122
141,1,100459
141,1,106794
141,1,116683
141,1,125960
141,1,135430
141,1,142587
141,1,149911
141,1,153833
141,1,158593
141,2,166647
141,2,177604
141,2,189476
141,2,200892
141,2,206555
141,2,211080
141,2,223638
141,2,238617
141,2,254963
141,2,266940
141,2,277149
141,2,283952
141,2,378257
141,2,396737
141,2,413916
141,2,429965
141,2,445123
141,2,459436
141,2,469141
141,2,477709
141,3,490005
141,3,521046
141,3,534580
141,3,551631
141,3,576779
141,3,588118
141,3,601736
141,3,627963
141,3,660469
141,3,679524
141,3,702399
141,3,727715
141,3,746018
141,3,757811
141,3,788318
141,3,817642
141,3,957692
141,3,984615
141,3,990731
141,3,1029045
141,3,1062542
141,3,1107012
141,3,1139844
141,3,1171447
141,3,1217361
