confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4,0,0
4,0,0
4,0,0
7,1,0
7,1,0
23,1,0
41,2,0
51,2,0
52,2,0
67,2,0
92,2,0
94,3,0
127,3,1
163,3,2
187,3,2
201,3,2
218,3,2
242,3,2
264,3,5
293,3,11
331,7,25
346,8,34
359,8,38
399,8,45
422,10,52
457,10,56
485,14,65
503,17,66
531,20,73
549,22,82
577,23,85
593,24,91
618,24,92
635,25,99
661,28,104
675,29,106
685,32,107
713,35,107
747,36,108
800,38,108
846,41,112
878,41,113
894,42,115
929,43,116
975,45,116
1024,49,117
1097,52,119
1234,54,120
1247,55,121
1300,56,123
1363,58,124
1399,58,124
1447,64,124
1506,66,124
1555,68,124
1594,72,126
1618,73,128
1652,78,130
1704,80,131
1778,84,131
1829,84,131
1872,86,132
1921,90,132
1965,91,134
1990,93,134
2023,95,134
2069,96,134
2100,99,134
2138,102,135
2175,105,136
2211,108,136
2235,110,136
2259,112,136
2292,116,136
2331,120,136
2372,125,136
2408,126,136
2427,130,137
2433,130,137
2443,130,137
2460,133,137
2477,134,138
2485,136,138
2499,139,138
2513,140,138
2519,140,138
2538,144,138
2560,146,138
2585,147,138
2627,159,138
2711,160,138
2727,160,138
2810,164,138
2889,167,138
2993,167,138
3086,168,138
3191,172,138
3266,172,138
3290,174,138
3341,176,138
3453,181,138
3542,184,138
3674,190,138
3755,193,138
3872,199,138
3905,199,138
3984,207,138
4114,208,138
4242,209,138
4408,211,138
4513,215,138
4625,216,138
4691,219,138
4831,223,138
4989,230,138
5154,232,138
5315,232,138
5497,239,138
5677,241,138
5740,246,138
5914,250,138
6102,254,138
6342,259,138
6672,262,138
6964,267,138
