confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
8,0,0
8,0,0
10,0,0
14,0,0
15,1,0
15,1,0
20,1,0
20,1,0
21,1,0
21,1,0
22,1,0
22,1,0
22,3,0
23,3,0
27,3,0
38,3,0
41,4,0
62,4,0
63,4,0
74,4,0
85,4,0
88,4,0
98,5,0
111,5,0
119,5,0
121,5,0
123,5,0
139,5,5
144,5,5
146,5,5
146,5,5
146,5,5
150,5,5
150,6,5
151,6,5
151,6,5
151,6,5
155,6,5
161,6,5
161,6,5
161,6,5
176,6,5
177,6,5
178,6,5
180,6,5
180,6,6
180,6,6
181,6,6
181,6,6
182,6,6
182,6,6
184,6,6
191,6,6
193,6,6
199,6,6
199,6,6
199,6,6
201,6,6
201,6,6
203,6,6
206,6,6
206,6,6
206,6,6
207,6,6
224,6,6
224,6,6
228,6,6
232,6,6
233,6,6
236,6,6
236,6,6
240,6,6
242,6,6
244,6,6
246,6,6
248,6,6
260,6,6
261,6,6
261,6,8
261,6,8
262,6,8
262,6,8
262,6,8
286,6,8
286,6,8
287,6,8
290,6,8
291,6,8
292,6,8
293,6,8
293,6,8
293,6,8
296,6,8
299,6,8
299,6,8
299,6,8
303,6,8
304,6,8
306,6,8
313,6,8
313,6,8
316,6,8
316,6,8
317,6,8
321,6,8
326,6,8
