confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
3,0,5
3,0,5
3,0,5
3,1,7
4,1,10
4,1,10
5,1,12
5,1,21
6,1,23
6,1,31
6,1,32
6,1,46
6,1,50
6,1,50
7,1,66
7,1,90
7,1,108
7,1,127
7,1,134
7,1,146
7,1,146
8,1,155
8,1,161
10,1,161
11,1,177
56,1,226
56,1,257
56,1,294
58,1,321
61,1,338
67,1,357
68,1,362
73,1,389
82,1,410
88,1,425
90,1,442
106,1,453
109,1,469
114,1,476
114,1,498
121,1,506
122,1,517
152,2,535
165,2,540
175,2,545
186,2,548
191,2,555
218,2,562
230,2,566
236,2,569
246,2,577
260,2,584
267,2,588
289,2,592
315,2,592
326,2,595
328,3,604
328,3,644
328,3,652
335,3,652
349,3,661
356,3,669
362,3,672
371,3,672
380,3,672
390,3,672
390,4,672
390,4,672
390,4,719
405,4,720
421,4,720
435,4,720
458,4,720
466,5,720
477,5,753
502,5,760
536,5,760
542,5,765
554,5,765
567,5,765
585,5,765
615,5,765
657,6,790
697,6,791
726,6,799
750,6,799
760,7,804
781,7,807
792,7,809
823,7,810
848,8,810
863,8,810
890,8,814
944,8,814
982,8,823
999,8,825
1003,8,826
1027,10,830
1091,12,830
1155,12,830
1165,12,830
1227,15,838
1267,15,838
1301,15,846
1382,15,852
1421,16,854
1451,17,854
1463,17,858
1499,18,860
1542,18,861
1552,18,862
1591,19,862
