confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,9
0,0,6
0,0,6
0,0,7
0,0,7
0,0,10
0,0,17
0,0,18
0,0,27
0,0,28
0,0,41
0,0,46
0,0,57
0,0,66
0,0,70
0,0,72
0,0,77
0,0,90
0,0,102
0,0,102
0,0,104
0,0,104
0,0,112
0,0,112
0,0,112
0,0,112
0,0,114
0,0,114
0,0,114
0,0,114
0,0,114
0,0,115
0,0,117
0,0,123
0,0,129
0,0,133
0,0,137
0,0,140
0,0,143
0,0,143
0,0,144
0,0,144
0,0,144
1,0,144
1,0,144
1,0,144
1,0,144
1,0,144
3,0,144
3,0,144
3,0,144
3,0,144
3,0,144
3,0,144
5,0,144
7,0,144
7,0,144
8,0,144
8,0,144
9,0,144
9,0,144
9,0,144
10,0,144
10,0,144
11,0,144
11,0,144
11,0,144
18,0,144
23,0,144
23,0,144
23,0,144
27,0,144
27,0,144
33,0,144
33,0,145
33,0,145
33,0,145
33,0,145
33,0,145
40,0,145
46,0,145
46,0,145
46,0,145
52,2,145
52,2,145
73,5,145
73,5,145
117,10,145
117,10,145
117,10,145
170,17,145
170,17,145
253,27,145
260,28,145
322,31,145
322,31,145
322,31,145
357,40,145
372,42,145
399,46,145
428,48,145
474,50,145
503,53,145
519,53,145
545,56,145
565,57,145
588,58,145
611,58,145
648,60,145
675,60,145
687,61,145
700,62,145
715,64,145
726,65,145
759,65,145
759,65,145
778,65,145
790,66,145
803,66,145
820,66,145
828,66,145
836,68,145
836,69,145
837,69,145
839,70,145
844,71,145
846,72,145
848,72,145
848,72,145
848,72,145
850,73,145
850,73,145
853,74,145
854,74,145
854,74,145
858,74,145
858,74,145
858,74,145
858,74,145
860,74,145
860,74,145
863,74,145
865,74,145
865,74,145
866,74,145
866,74,145
866,74,145
866,74,145
868,74,145
871,74,145
871,74,145
872,74,145
872,74,145
873,74,145
873,74,145
873,74,145
874,74,145
