confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
2,0,0
2,0,0
2,0,0
2,0,0
3,0,0
4,0,0
14,0,0
18,0,0
23,1,0
30,1,0
36,1,0
45,2,2
48,2,2
51,3,2
51,3,2
65,6,2
65,6,2
81,8,2
98,8,2
109,9,2
134,13,2
134,13,3
154,18,3
154,18,3
161,18,4
180,18,10
180,18,11
180,18,11
215,20,11
223,20,11
234,20,11
235,20,11
241,20,11
254,21,11
267,22,11
287,23,11
307,25,11
327,25,11
332,25,11
350,25,11
359,25,11
377,25,11
394,25,11
416,28,11
442,28,11
459,28,11
471,30,11
491,30,11
572,31,11
604,32,11
674,33,11
674,33,11
682,34,11
705,34,11
797,35,11
863,36,11
937,39,11
937,39,11
991,41,11
1024,41,11
1102,44,11
1169,50,11
1242,50,11
1298,50,11
1455,61,11
1455,61,11
1538,61,11
1629,61,11
1731,61,11
1835,61,11
1945,63,11
2025,63,11
2141,63,11
2297,67,11
2403,68,11
2546,68,11
2660,69,11
2833,69,11
2966,69,11
3070,72,11
3195,72,11
3326,72,11
3495,75,11
3644,78,13
3764,81,13
3878,82,13
4016,85,13
4106,88,13
4259,90,13
4390,96,13
4515,98,13
4637,101,13
4724,106,13
4778,107,13
4837,112,13
4974,112,13
5100,115,13
5283,117,13
5477,122,13
5672,125,13
5826,130,13
5924,135,13
6027,135,13
6213,142,13
6411,142,13
6552,149,13
6690,153,13
6827,157,13
6939,167,13
7039,170,13
7122,175,13
7189,176,13
7311,179,13
7379,182,13
7411,182,13
7432,182,13
7432,182,13
7432,182,13
7846,189,13
7905,189,13
