confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,1
1,0,1
5,0,1
9,0,1
9,0,1
13,0,1
22,0,1
23,0,1
26,0,1
27,0,1
35,0,1
41,0,1
50,0,1
69,1,1
89,1,1
117,2,1
134,2,1
158,2,1
177,2,1
201,2,1
231,2,1
263,2,1
295,2,1
314,2,1
330,2,1
347,2,1
375,2,894
396,2,1089
416,2,1193
435,2,1283
454,2,1327
467,2,1378
483,2,1491
502,3,1621
539,3,1736
558,3,1773
577,3,1955
595,3,2123
612,3,2235
618,3,2515
626,4,2748
642,4,3023
649,4,3389
655,4,3847
660,5,4141
662,6,4312
669,6,4700
681,6,5087
686,6,5384
687,6,5526
693,6,5669
695,6,5805
697,6,5959
705,6,6121
713,6,6366
719,6,6546
725,6,6729
733,6,6889
739,6,6987
742,6,7088
755,6,7296
761,6,7493
765,6,7711
773,6,7927
780,6,8093
792,7,8217
801,7,8328
804,7,8580
815,8,8663
830,8,8805
843,9,8959
853,10,9107
863,10,9227
866,10,9301
882,10,9416
897,10,9536
903,10,9643
911,10,9764
918,10,9836
930,10,9900
951,10,9964
956,10,10044
984,10,10106
1000,10,10180
1022,10,10240
1047,10,10327
1056,10,10362
1084,10,10412
1105,10,10489
1157,10,10552
1194,10,10620
1228,10,10653
1263,10,10721
1318,10,10755
1342,11,10792
1375,11,10849
1461,12,10904
1538,12,10955
1612,12,10993
1662,12,11035
1715,12,11068
1744,12,11090
1796,12,11125
1871,12,11185
1939,12,11242
2058,12,11282
2127,12,11282
2213,12,11282
2277,12,11347
2368,12,11393
2515,12,11422
2684,12,11460
2836,12,11508
2979,14,11508
3130,15,11508
3269,15,11612
3459,16,11649
3753,17,11693
4023,18,11769
4311,18,11817
4621,18,11817
4996,19,11817
5241,23,11935
5486,23,11983
5836,25,12001
6485,25,12045
6845,26,12077
