confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,0,0
4,0,0
4,0,0
4,0,0
4,0,0
5,0,0
7,1,0
11,1,0
16,1,0
21,1,3
35,1,3
40,1,3
48,1,3
57,1,3
67,2,3
80,2,3
119,3,3
139,3,3
170,4,3
186,6,54
212,6,58
233,6,65
269,6,65
288,6,100
320,8,100
350,9,100
396,11,100
457,12,140
515,15,339
564,15,368
620,16,411
669,18,501
726,21,597
766,21,696
814,24,780
862,27,838
923,31,838
986,32,1008
1035,34,1061
1087,36,1150
1137,38,1207
1189,40,1262
1235,43,1328
1285,49,1366
1337,51,1366
1369,54,1366
1389,56,1557
1437,58,1557
1467,58,1557
1501,61,1558
1537,64,1913
1611,66,2132
1649,67,3300
1668,69,3433
1685,69,3433
1703,69,3433
1729,73,3433
1741,74,3433
1754,74,3433
1766,77,3433
1783,77,3433
1804,78,3433
1810,79,3433
1830,79,3433
1840,79,3433
1862,79,3433
1872,79,3433
1881,79,3433
1887,79,3457
1900,79,3557
1908,80,3557
1916,81,3557
1931,81,3557
1941,82,3560
1947,82,18003
1963,82,18003
1974,82,18425
1983,82,18425
2005,82,19190
2025,83,19190
2045,83,19592
2083,83,19592
2092,83,20019
2107,83,20019
2119,83,20019
2133,83,20568
2173,83,21020
2191,83,21020
2200,83,21020
2205,83,21020
2211,83,21862
2219,84,21862
2233,84,22679
2238,84,22865
2248,84,23064
2262,84,23349
2273,84,23684
2280,84,23881
2295,85,24123
2305,85,24446
2309,85,24446
2312,85,24991
2315,85,24991
2318,85,24991
2319,85,24991
2321,85,26097
2325,85,26493
2330,86,26920
2332,86,27058
2340,86,27430
2341,86,27594
2348,86,27887
2353,86,28032
2361,86,28391
2369,86,28507
2372,86,28722
2380,86,28872
2395,86,29071
2399,86,29071
2403,86,29184
2413,86,29577
