confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,0,0
3,0,0
5,0,0
8,0,0
12,0,0
18,0,0
19,0,0
31,0,0
31,0,0
41,0,0
91,0,0
94,0,0
141,0,0
189,0,0
253,0,0
298,0,0
396,0,0
464,0,0
694,0,0
833,0,0
995,0,0
1120,1,0
1236,1,0
1394,3,0
1654,6,0
1925,9,0
2279,9,0
2631,11,0
2817,16,0
3001,23,0
3308,31,0
3508,39,0
3858,44,0
4091,53,0
4472,59,2
4587,67,2
4822,78,5
5017,88,5
5312,99,9
5569,112,14
5732,119,15
5831,129,19
5991,138,21
6059,143,22
6111,161,25
6216,166,30
6433,169,33
6549,173,38
6606,181,43
6746,186,44
6900,194,46
7033,201,48
7132,208,63
7187,210,67
7273,214,75
7352,218,75
7404,220,83
7445,223,89
7504,227,97
7579,227,106
7682,236,119
7737,240,124
7755,245,141
7781,248,154
7819,252,180
7896,257,205
7974,262,219
8031,270,252
8077,273,257
8095,276,276
8123,280,293
8176,282,325
8221,283,349
8269,290,374
8351,293,405
8406,295,417
8455,296,441
8475,298,464
8586,297,474
8647,302,502
8721,304,537
8754,306,544
8813,312,570
8890,314,570
8955,315,633
9002,317,772
9050,317,787
9086,317,891
9140,319,1002
9196,319,1015
9230,319,1031
9268,320,1040
9302,321,1063
9364,323,1160
9438,325,1186
9494,326,1214
9529,327,1249
9567,327,1281
9628,327,1305
9697,328,1379
9751,328,1419
9824,330,1438
9855,328,1504
9938,329,1587
9991,328,1738
10024,329,1846
10064,330,1926
10111,331,2041
10162,333,2137
10280,334,2235
10406,335,2310
10448,336,2449
10498,336,2535
10523,336,2655
10650,339,2814
10777,343,2924
10870,345,3116
11038,349,3291
11298,349,3447
11603,348,3557
11805,348,3648
11954,349,3770
12046,349,3964
12178,353,4115
12319,353,4268
12440,351,4434
12515,348,4573
12566,350,4730
12685,351,4929
12814,351,5133
12919,352,5289
13001,352,5428
