confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
61,0,0
61,0,0
64,0,0
135,0,0
135,0,0
175,0,0
175,0,0
218,0,0
285,0,0
355,0,0
454,0,0
542,0,0
621,0,0
634,2,0
634,2,0
634,2,0
691,3,0
691,3,0
691,3,0
705,4,0
705,4,0
705,6,0
705,6,0
705,6,0
705,6,0
706,6,0
706,6,0
706,6,0
706,6,0
706,6,0
706,6,0
706,6,0
706,6,0
706,7,0
706,7,0
706,7,0
706,7,0
706,7,0
706,7,0
706,7,0
712,7,0
712,7,0
712,7,0
712,8,0
712,8,0
712,8,0
712,10,3
712,10,3
712,10,3
712,10,3
712,10,3
712,10,3
712,10,4
712,10,5
712,11,9
712,11,16
712,11,16
712,11,16
712,11,17
712,11,33
712,11,36
712,11,50
712,11,80
712,11,98
712,11,108
712,11,131
712,11,152
712,12,162
712,12,208
712,12,215
712,13,268
712,13,312
712,13,363
712,13,416
712,13,463
712,13,581
712,13,581
712,13,763
712,13,822
712,13,910
712,13,993
712,13,1165
712,13,1228
712,13,1301
712,13,1387
712,13,1481
712,13,1606
712,13,1771
712,13,1905
712,13,1960
712,13,2064
712,13,2286
712,13,2584
712,13,2763
712,13,2870
712,13,3221
712,13,3221
712,13,3351
712,13,3557
712,13,3726
712,13,5847
712,13,6613
712,13,6613
712,13,7142
712,13,7366
712,13,7572
712,13,7854
712,13,8133
712,13,8285
712,13,8534
712,13,8790
712,13,8952
712,13,9266
712,13,9557
712,13,10559
712,13,10893
712,13,11075
712,13,11224
712,13,11474
712,13,11736
712,13,11919
712,13,12007
712,13,12158
712,13,12208
712,13,12318
712,13,12541
712,13,12754
712,13,13084
712,13,13320
712,13,14025
712,13,14133
712,13,14216
712,13,14293
712,13,14605
712,13,14957
712,13,15138
712,13,15338
712,13,15551
712,13,16006
712,13,16223
712,13,16357
712,13,16666
712,13,17142
712,13,17280
712,13,17580
712,13,17904
712,13,18141
712,13,18392
712,13,18602
712,13,18943
712,13,19489
712,13,19564
712,13,20056
712,13,20426
712,13,20830
