confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
3,0,0
3,0,6
3,0,6
5,0,6
9,0,6
13,0,6
13,0,6
19,0,6
24,0,6
30,0,6
32,1,6
32,1,15
41,2,15
46,2,22
56,3,22
62,3,22
69,4,34
78,4,34
93,5,34
103,6,43
117,6,43
118,6,43
125,6,51
137,6,51
149,6,51
159,6,51
164,6,51
177,7,61
190,7,64
201,7,64
218,7,69
225,7,76
237,7,83
250,8,84
274,8,87
274,8,87
298,8,87
323,8,87
345,8,93
377,9,93
395,10,94
424,10,98
446,11,98
490,11,98
555,13,100
587,14,100
633,15,111
695,15,112
742,16,119
784,17,119
889,17,122
958,18,122
998,20,122
1037,20,124
1112,23,124
1210,25,124
1265,26,125
1338,30,125
1413,30,131
1498,30,136
1571,31,136
1640,33,137
1725,33,141
1819,33,143
1915,35,145
1983,35,146
2042,36,146
2109,39,150
2194,39,161
2278,42,172
2395,46,185
2517,46,200
2582,46,200
2653,49,207
2705,51,254
2781,52,296
2849,53,321
2934,53,348
3015,53,383
3104,56,400
3191,60,427
3274,64,457
3373,68,462
3481,68,489
3603,72,520
3720,74,534
3826,74,552
3941,76,619
4066,79,663
4200,82,784
4329,86,840
4475,93,890
4626,98,930
4808,107,972
4973,113,1016
5150,119,1056
5336,126,1096
5517,133,1166
5727,143,1249
5934,152,1249
6173,164,1352
6438,174,1508
6736,182,1602
7000,191,1680
7267,202,1777
7507,210,1866
7777,217,1866
8027,223,1984
8307,229,2119
8566,235,2349
8844,243,2555
9142,249,2785
