confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
4,0,0
6,0,0
6,0,0
6,0,0
6,0,0
9,0,0
9,0,0
9,0,0
12,0,0
12,0,0
12,0,0
12,0,0
12,0,0
12,0,0
15,0,0
15,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
18,0,0
18,0,0
18,0,0
18,0,0
21,0,0
21,0,0
41,0,0
51,0,0
51,0,0
79,0,0
79,0,2
79,0,2
79,0,19
83,0,19
84,1,35
84,1,36
214,1,41
258,1,41
258,1,41
258,1,43
315,1,49
315,1,50
315,1,50
315,1,51
315,1,51
315,1,51
315,3,53
315,3,54
439,4,54
439,4,56
439,4,56
439,4,56
439,4,56
439,4,56
439,4,58
522,6,58
583,7,59
594,7,59
594,7,59
594,7,59
719,7,60
825,7,60
890,7,60
903,10,60
960,11,60
960,11,60
960,11,60
1043,12,60
1043,12,60
1043,12,60
1043,12,60
1306,12,60
1306,12,60
1306,12,60
1306,12,60
1306,12,60
1306,12,60
1306,12,60
1306,12,60
1306,12,60
1306,12,60
1306,12,60
1306,12,60
1306,12,60
1306,12,60
1306,12,60
1306,12,60
1306,12,60
1306,12,60
1664,32,60
1664,32,60
1664,32,60
1664,32,60
1664,32,60
1664,32,60
1664,32,60
1664,32,60
1664,32,60
2001,32,60
2001,32,60
2001,32,60
2001,32,60
2001,32,60
2001,32,60
2001,32,60
3071,51,60
3071,51,60
3071,51,60
3071,51,60
3071,51,60
3071,51,60
3071,51,60
3071,51,60
3071,51,60
