confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
4,0,0
6,0,0
6,0,0
6,0,17
12,0,17
12,0,17
15,0,22
15,0,24
22,0,24
22,0,24
29,0,24
29,0,31
31,0,31
31,0,31
33,0,43
33,0,43
34,0,67
34,0,67
34,0,67
34,0,67
34,0,67
35,0,67
35,0,67
35,0,67
39,0,73
39,0,73
39,0,73
39,0,73
39,0,73
39,0,76
39,0,82
39,0,82
39,0,82
39,0,82
39,0,82
39,0,82
39,0,95
39,0,95
39,0,95
39,0,95
39,0,98
39,0,98
39,0,104
39,0,104
39,0,104
39,0,104
39,0,104
39,0,104
39,0,109
39,0,109
39,0,109
39,0,109
39,0,109
39,0,109
39,0,109
39,0,109
39,0,109
39,0,109
39,0,115
39,0,115
39,0,115
39,0,115
39,0,115
39,0,115
39,0,115
39,0,138
39,0,138
39,0,138
39,0,138
39,0,138
39,0,138
39,0,138
39,0,144
39,0,144
39,0,144
39,0,144
39,0,144
41,0,144
41,0,144
41,0,157
65,0,157
96,0,157
109,0,157
121,0,157
131,0,157
142,0,157
142,0,157
143,0,157
143,0,157
143,0,157
143,0,157
144,0,157
144,0,157
167,0,157
191,0,157
191,0,157
191,0,157
203,0,157
203,0,157
215,0,157
215,0,157
215,0,157
215,0,157
215,0,157
215,0,157
215,0,157
232,0,157
232,0,157
