confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
4,0,0
4,0,0
4,0,0
4,0,0
6,0,0
9,0,0
9,0,0
9,0,0
9,0,10
9,0,10
9,0,10
9,0,10
9,0,10
9,0,14
9,0,14
10,0,14
10,0,22
12,0,22
12,0,22
12,0,50
12,0,59
14,0,59
15,0,59
15,0,69
15,0,69
16,1,69
16,1,117
22,1,117
22,1,117
24,1,117
31,1,117
31,1,125
31,1,125
36,1,144
56,1,144
59,1,144
65,1,144
71,1,235
91,1,235
100,1,235
106,1,235
108,1,235
112,1,235
116,1,352
119,1,352
123,2,352
153,2,352
159,2,352
163,2,492
172,2,492
175,2,492
184,2,492
187,2,627
187,2,627
190,2,627
202,2,627
203,2,627
205,2,627
208,2,627
217,2,894
220,2,894
225,2,894
238,2,894
250,2,894
256,2,894
261,2,894
272,2,1314
279,2,1315
279,2,1385
283,2,1385
285,2,1385
293,3,1473
294,3,1473
295,3,1523
300,3,1523
305,3,1523
322,3,1523
333,3,1523
340,3,1654
371,3,1654
398,3,1654
449,3,1654
472,3,1790
486,3,1790
490,4,1790
506,4,2058
520,4,2058
563,4,2066
586,4,2066
623,4,2066
627,5,2066
635,5,2066
643,6,2188
674,7,2188
690,7,2218
706,8,2218
728,8,2218
745,8,2218
781,11,2218
795,11,2325
812,11,2325
840,11,2341
873,11,2341
909,13,2375
954,13,2375
988,13,2375
1011,13,2375
1056,14,2446
1138,14,2446
1213,17,2480
1257,18,2480
