confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
5,0,0
5,0,0
6,0,0
6,0,0
9,0,0
9,0,0
11,0,0
11,0,0
12,0,0
12,0,0
12,0,0
16,0,0
16,0,0
21,0,0
23,0,0
26,0,0
29,0,0
29,0,1
35,0,1
38,0,1
43,2,1
44,2,1
52,2,1
55,2,1
56,2,1
65,3,1
69,3,1
71,3,1
74,3,1
82,3,1
85,3,1
92,3,1
96,3,14
105,3,14
108,3,15
111,3,15
114,3,17
116,3,17
116,3,17
117,3,17
122,3,17
123,3,17
124,3,17
126,3,17
130,3,17
131,3,17
133,3,17
133,3,17
135,3,17
140,3,17
145,4,17
162,4,18
191,4,18
194,4,18
210,5,18
239,5,18
250,5,18
261,5,18
263,5,18
272,5,18
287,5,18
306,5,18
317,5,18
352,5,18
365,5,18
389,5,18
399,5,18
433,5,18
494,5,18
582,5,18
655,5,18
701,6,18
731,6,18
831,7,18
968,8,18
1063,8,18
1172,11,18
1257,12,18
1344,14,18
1486,17,18
1636,18,18
1805,19,18
1934,20,18
2020,27,19
2156,27,20
2336,32,20
2506,35,20
2670,40,20
2915,47,20
3166,55,20
3345,57,20
3521,60,21
3630,61,21
3759,63,21
3954,65,21
4070,72,21
4469,72,21
4532,74,21
4663,75,21
4848,75,21
5034,78,21
5175,81,21
5425,89,21
5570,94,21
5689,98,21
5846,103,21
5846,103,21
5846,103,21
5846,103,21
5846,103,21
5846,103,21
5846,103,21
5846,103,21
5846,103,21
6774,120,21
6973,120,21
7120,124,21
