confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
2,0,0
2,0,0
3,0,0
6,0,0
6,0,0
6,0,0
6,0,0
12,0,0
15,0,0
15,0,0
23,0,0
30,0,0
40,0,0
59,0,0
59,0,0
155,0,0
225,0,0
244,0,0
277,0,0
321,0,0
336,0,0
400,0,0
450,0,0
523,1,0
626,1,0
700,1,0
792,1,0
880,3,0
958,5,0
1041,7,0
1167,9,0
1240,11,0
1352,13,1
1418,17,1
1446,17,1
1518,19,1
1615,20,1
1882,25,1
1927,28,1
2176,27,1
2308,34,1
2487,40,1
2605,42,1
2769,48,1
2905,49,1
2974,56,4
3064,59,4
3161,64,4
3237,72,4
3369,75,4
3489,82,4
3681,90,5
3783,94,5
3868,98,5
4014,141,6
4129,149,6
4284,172,6
4395,177,6
4475,186,6
4576,190,6
4695,193,6
4740,199,6
4906,206,6
4995,211,6
5051,218,6
5176,220,6
5254,230,6
5327,240,6
5412,246,6
5573,252,6
5673,255,6
5738,260,6
5880,265,6
5962,267,6
5984,271,6
6003,275,6
6054,284,6
6145,287,6
6228,293,6
6286,297,6
6347,298,6
6380,300,6
6399,301,6
6443,304,6
6493,306,6
6537,306,6
6568,306,6
6579,307,6
6599,308,6
6628,312,6
6692,313,6
6743,313,6
6776,314,6
6826,316,6
6859,320,6
6885,318,6
6887,320,6
6911,321,6
6911,322,6
6941,322,6
6964,322,6
6981,323,6
7001,323,6
7025,324,6
7040,324,6
7064,325,6
7073,325,6
7087,325,6
7104,326,6
7108,326,6
7112,326,6
7117,326,6
7119,326,6
7133,326,6
7142,326,6
7143,326,6
7144,327,6
7155,327,6
7167,327,6
7172,327,6
7191,328,6
7198,328,6
7198,328,6
7209,328,6
7214,328,6
7236,328,6
7241,328,6
7242,329,6
7248,329,6
7253,329,6
7257,329,6
7262,329,6
7265,329,6
7273,329,6
7279,329,6
