confirmed,death,recover
0,0,0
0,0,0
2,0,0
3,0,0
3,0,0
3,0,0
4,0,0
5,0,0
5,0,0
5,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
12,1,0
12,1,0
12,1,0
12,1,0
12,1,0
12,1,0
12,1,0
12,1,0
12,1,0
12,1,0
14,1,0
18,2,0
38,2,0
57,2,0
100,2,0
130,2,0
191,3,0
204,4,0
285,4,0
377,6,0
653,9,0
949,11,0
1126,19,0
1209,19,0
1784,33,0
2281,48,0
2281,48,0
3661,79,0
4469,91,0
4499,91,0
6633,148,0
7652,148,0
9043,148,0
10871,243,0
12612,450,0
14282,562,0
16018,674,0
19856,860,0
22304,1100,0
25233,1331,4
29155,1696,4
32964,1995,4
37575,2314,10
40174,2606,10
44550,3024,10
52128,3523,12
56989,4403,12
59105,5387,12
64338,6507,12
68605,7560,15
70478,8078,15
74390,8911,15
78167,10328,17
82048,10869,17
86334,12210,17
90676,13197,17
93790,13832,19
120633,14393,19
124298,14967,19
129257,15712,19
132473,17148,19
144944,17901,19
146923,18661,21
146906,19303,21
151808,19694,21
154188,20240,21
156921,20765,24
154715,21309,24
157026,21825,30
158636,22214,30
160292,22583,45
160847,22825,49
164589,23262,49
167605,23629,49
165093,24056,62
165764,24345,66
165764,24563,72
166976,24729,72
167272,24864,72
167886,25168,79
168935,25498,79
172465,25772,86
173040,25949,90
174318,26192,101
174758,26271,104
175027,26341,110
175479,26604,111
176207,26951,120
175981,27032,121
176712,27381,129
177319,27485,135
177207,27483,138
177240,28062,138
177554,28193,138
178428,27976,155
179069,28084,159
179306,28167,222
179645,28241,222
179964,28284,244
179859,28317,258
180166,28407,274
179887,28480,289
180044,28546,493
183309,28611,565
183816,28663,648
185616,28720,706
185851,28751,735
185952,28779,795
185112,28886,824
185440,28967,929
186118,29010,979
186670,29056,1053
187199,29087,1133
187492,29100,1261
187590,29153,1323
187925,29237,1413
188322,29260,1504
188680,29287,1567
189244,29315,1702
189637,29339,1804
189928,29346,1886
189996,29375,1966
190223,29484,2096
190534,29512,2200
190735,29540,2290
191304,29554,2419
191740,29568,2558
191745,29574,2711
192070,29595,2818
192452,29652,2897
192265,29661,2930
192010,29680,2949
193346,29705,3028
193152,29704,3123
192429,29704,3152
194109,29736,3170
194373,29763,3194
194985,29780,3231
195458,29794,3279
195904,29812,3315
195546,29812,3330
195535,29813,3382
196748,29836,3429
197089,29847,3575
196796,29846,3718
197964,29889,3797
198450,29912,4024
