confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
3,1,0
4,1,0
5,1,0
5,1,0
6,1,0
6,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
16,1,0
18,1,0
21,1,0
21,1,2
21,1,5
21,1,5
24,1,5
30,1,5
34,1,5
44,1,11
44,1,15
46,1,17
49,1,17
57,1,17
57,1,31
80,1,31
80,1,49
108,1,59
108,1,65
109,1,87
120,1,122
156,1,127
166,1,164
167,2,170
172,3,191
176,3,208
176,3,208
211,3,246
238,3,269
276,3,313
276,3,329
276,3,342
335,5,405
335,5,405
367,6,450
397,6,498
397,6,597
504,8,629
620,8,663
661,8,698
661,8,714
802,9,714
863,9,816
1004,9,856
1104,10,895
1209,10,895
1320,11,1133
1320,11,1133
1432,11,1263
1502,12,1525
1567,12,1525
1567,12,1575
1728,12,1575
1934,12,1631
1934,12,1673
2135,14,1673
2238,14,1673
2319,14,1673
2431,14,1950
2613,15,2000
2655,17,2030
2655,17,2030
2655,17,2135
2803,20,2267
2902,20,2332
2955,21,2512
3101,21,2667
3101,21,2857
3101,21,2877
3101,21,2918
3247,21,2942
3375,22,2942
3463,23,3033
3463,23,3106
3463,23,3213
3463,23,3234
4033,27,3259
4114,29,3327
4229,30,3364
4340,32,3467
4428,34,3522
4428,34,3630
4428,34,3669
4739,39,3669
4849,39,3685
4956,39,3861
5087,40,3861
5209,40,4155
5209,40,4215
5209,40,4282
5394,42,4296
5394,42,4326
5513,42,4346
5513,42,4392
5620,44,4446
5620,44,4496
5620,44,4522
5743,46,4522
5743,46,4542
5871,46,4577
5871,46,4672
5942,46,4732
