confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
3,0,0
3,0,0
3,0,0
3,0,0
4,0,0
4,0,0
4,0,0
13,0,0
15,0,0
15,0,0
24,0,0
24,0,0
25,0,0
30,0,0
33,0,0
33,0,0
34,0,0
38,0,0
40,0,0
43,0,0
49,0,0
54,0,0
61,0,0
70,0,0
75,0,0
79,0,0
83,0,0
90,0,0
91,0,0
103,0,0
110,0,0
117,0,0
134,0,0
155,0,0
162,1,0
174,2,0
188,2,8
196,3,8
211,3,8
218,3,8
234,3,8
242,3,8
257,3,8
272,3,8
300,3,8
306,3,8
348,3,8
370,3,9
388,4,9
394,4,9
402,4,9
408,4,9
416,5,9
425,5,9
444,5,12
456,5,12
486,6,12
497,6,15
511,6,15
517,6,18
539,6,22
566,7,22
582,8,22
589,9,22
593,9,27
604,9,27
610,9,27
615,9,27
623,10,35
626,10,35
635,10,35
638,11,36
642,11,36
647,11,41
667,12,42
671,12,43
683,12,43
695,12,43
701,12,44
707,12,46
713,12,47
721,12,57
723,12,57
728,12,58
730,12,62
731,12,62
732,12,62
735,12,67
738,12,67
746,12,67
757,12,67
783,12,70
794,12,70
796,13,70
800,13,70
801,13,77
805,13,77
808,13,80
809,13,80
812,13,84
818,13,86
827,13,92
831,13,92
843,13,95
851,14,95
864,14,99
879,14,99
879,14,99
888,14,102
893,14,102
896,14,102
898,14,102
906,14,103
908,14,103
911,14,107
914,14,107
917,14,108
919,14,108
921,14,109
924,15,109
926,15,114
928,15,114
931,15,116
939,15,117
943,15,117
948,15,120
951,15,120
953,15,120
958,15,125
963,15,125
968,15,125
973,15,134
