confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
3,0,0
4,0,0
4,0,0
7,0,0
7,0,0
7,0,0
9,0,0
31,0,0
45,0,0
46,0,0
73,0,0
73,0,0
89,0,0
99,1,0
99,1,0
190,1,0
228,3,0
331,4,0
331,4,0
387,5,0
418,5,0
418,6,0
495,6,0
530,13,0
624,15,0
695,17,0
743,20,0
821,22,0
892,26,0
966,28,0
1061,32,3
1156,38,3
1212,43,3
1314,49,3
1415,50,3
1544,53,3
1613,63,3
1673,68,3
1735,73,6
1755,79,6
1832,81,6
1884,83,6
1955,87,6
2011,92,7
2081,93,7
2114,98,7
2145,99,7
2170,101,7
2192,102,9
2207,105,9
2224,108,10
2235,110,10
2235,113,15
2245,116,25
2401,121,29
2408,121,30
2463,125,31
2490,130,58
2506,130,65
2517,134,65
2534,136,79
2566,138,79
2576,139,73
2591,140,79
2612,140,112
2620,143,116
2626,144,118
2632,146,122
2642,146,122
2663,147,132
2678,148,154
2691,150,192
2710,151,195
2716,151,203
2726,151,206
2744,152,211
2760,155,237
2770,156,253
2810,160,264
2819,162,278
2834,163,319
2836,165,340
2840,165,349
2850,166,349
2853,168,397
2874,169,439
2876,171,439
2878,171,468
2882,172,473
2892,173,493
2903,173,506
2906,175,519
2909,175,519
2915,175,536
2917,175,537
2918,179,549
2937,179,563
2937,179,617
2952,180,648
2967,180,677
2980,180,697
2997,180,712
3049,182,740
3058,183,787
3068,183,809
3088,183,837
3108,183,844
3112,183,894
3121,183,967
3134,184,1025
3148,185,1075
3203,187,1116
3227,188,1179
3237,189,1214
3256,190,1275
3266,190,1293
3287,190,1362
3302,190,1461
3310,190,1546
3321,191,1600
3343,191,1678
3366,191,1767
3376,191,1875
3390,191,1961
3409,192,2060
3432,192,2123
3458,192,2190
3486,192,2250
3511,192,2387
3519,192,2490
3562,192,2585
3589,193,2637
3622,193,2721
3672,193,2779
3732,193,2850
